,MIDI Note,Note,Octave,time,value
23630,78,F#,6,184,0.11702177393088051
23631,79,G,6,184,0.2193278144577374
23632,80,G#,6,184,0.13088808834882598
23758,78,F#,6,185,0.10334419436663192
23759,79,G,6,185,0.1844196828934311
23760,80,G#,6,185,0.11864364034324824
23887,79,G,6,186,0.10825336206216664
24397,77,F,6,190,0.12169399582105621
24399,79,G,6,190,0.16628293666857524
24400,80,G#,6,190,0.15114079102936517
24411,91,G,7,190,0.12198102630177537
24525,77,F,6,191,0.20417685505606215
24526,78,F#,6,191,0.134980010772952
24527,79,G,6,191,0.21041666341986068
24528,80,G#,6,191,0.13247685600699163
24785,81,A,6,193,0.10774720060792765
24819,115,G,9,193,0.12862279766529452
24921,89,F,7,194,0.11520594270840119
24946,114,F#,9,194,0.17944270752149938
24947,115,G,9,194,0.29219549759544683
24948,116,G#,9,194,0.10188328780254234
24956,124,E,10,194,0.10095190949102939
25072,112,E,9,195,0.10551643420708116
25074,114,F#,9,195,0.12192915926398634
25075,115,G,9,195,0.22134106364488204
25076,116,G#,9,195,0.11846176677881413
25200,112,E,9,196,0.13684148839959956
25201,113,F,9,196,0.10034717842826693
25203,115,G,9,196,0.1099409728916635
25212,124,E,10,196,0.10757567082408795
25213,125,F,10,196,0.13844718800786182
25456,112,E,9,198,0.14781717779609305
25457,113,F,9,198,0.11169945447183992
26959,79,G,6,210,0.18248482087084267
26960,80,G#,6,210,0.12859497314946997
27087,79,G,6,211,0.11613701307198177
28110,78,F#,6,219,0.13921313152067646
28111,79,G,6,219,0.1500273522732518
28238,78,F#,6,220,0.14494504981829537
28239,79,G,6,220,0.13406807750126795
28878,78,F#,6,225,0.12657240068532905
28879,79,G,6,225,0.11126702610822291
29006,78,F#,6,226,0.24560070841675194
29007,79,G,6,226,0.1837714588576974
29134,78,F#,6,227,0.12513709000792902
29135,79,G,6,227,0.14143318092498955
31949,77,F,6,249,0.16048195846738772
31950,78,F#,6,249,0.235682892491685
31951,79,G,6,249,0.1799416936895448
31956,84,C,7,249,0.18972883333698198
31957,85,C#,7,249,0.22385213728594452
31958,86,D,7,249,0.17509136596240285
31959,87,D#,7,249,0.12532568856847015
31960,88,E,7,249,0.11214302133954189
31961,89,F,7,249,0.17193968784191632
32071,71,B,5,250,0.12084915092899061
32072,72,C,6,250,0.14046721306538612
32076,76,E,6,250,0.12296394691021119
32077,77,F,6,250,0.13329117607294486
32084,84,C,7,250,0.1390325509647877
32085,85,C#,7,250,0.13074806985276877
32088,88,E,7,250,0.12181782136212078
32089,89,F,7,250,0.17833275838134416
32091,91,G,7,250,0.1745423449018438
32092,92,G#,7,250,0.15915885750957506
32101,101,F,8,250,0.1064321188262906
32102,102,F#,8,250,0.14372274819222286
32105,105,A,8,250,0.12458338898389558
