,MIDI Note,Note,Octave,time,value
1242686,62,D,5,9708,0.1600570587365308
1242687,63,D#,5,9708,0.22628579152799413
1242688,64,E,5,9708,0.4099767793361696
1242689,65,F,5,9708,0.3598761054976243
1242690,66,F#,5,9708,0.12027658285641961
1242694,70,A#,5,9708,0.151847155580806
1242695,71,B,5,9708,0.21037545095246993
1242696,72,C,6,9708,0.2649624681463477
1242697,73,C#,6,9708,0.18645416992737224
1242699,75,D#,6,9708,0.194326494021568
1242700,76,E,6,9708,0.15331658854744953
1242789,37,C#,3,9709,0.13327661505123053
1242790,38,D,3,9709,0.1732201138733806
1242791,39,D#,3,9709,0.18273784742813076
1242792,40,E,3,9709,0.22967919553904412
1242793,41,F,3,9709,0.3284116365699176
1242794,42,F#,3,9709,0.33164197884720437
1242795,43,G,3,9709,0.24194147619986842
1242796,44,G#,3,9709,0.1773561188834102
1242797,45,A,3,9709,0.1629260694768955
1242798,46,A#,3,9709,0.1456800392057468
1242799,47,B,3,9709,0.12326263858324638
1242802,50,D,4,9709,0.11045496179368433
1242804,52,E,4,9709,0.1186220644395364
1242805,53,F,4,9709,0.13603554094876902
1242807,55,G,4,9709,0.14630123912020163
1242808,56,G#,4,9709,0.20701965021642463
1242809,57,A,4,9709,0.31507177212679444
1242810,58,A#,4,9709,0.21151673595746623
1242815,63,D#,5,9709,0.11950449528805325
1242816,64,E,5,9709,0.24001066567134188
1242817,65,F,5,9709,0.1446565692424329
1242917,37,C#,3,9710,0.11740554850918714
1242918,38,D,3,9710,0.15102966826278438
1242919,39,D#,3,9710,0.14709781647627307
1242920,40,E,3,9710,0.17451347364678885
1242921,41,F,3,9710,0.2912336628047295
1242922,42,F#,3,9710,0.2804212334426907
1242923,43,G,3,9710,0.18883619061866078
1242924,44,G#,3,9710,0.12974117306888075
1242925,45,A,3,9710,0.1370598169302249
1242926,46,A#,3,9710,0.1073421564068656
1242937,57,A,4,9710,0.12189422252235592
1242938,58,A#,4,9710,0.10578970312227283
1242944,64,E,5,9710,0.12018445610616235
1243046,38,D,3,9711,0.11684593457894747
1243047,39,D#,3,9711,0.10203909638080357
1243048,40,E,3,9711,0.1085126824505182
1243049,41,F,3,9711,0.22682237199703667
1243050,42,F#,3,9711,0.19574183400470296
1243051,43,G,3,9711,0.11703869492383452
1243072,64,E,5,9711,0.15361280381138517
1243073,65,F,5,9711,0.10968884055843724
1243177,41,F,3,9712,0.15514271454395503
1243178,42,F#,3,9712,0.10841505149165018
1243199,63,D#,5,9712,0.11461619483233985
1243200,64,E,5,9712,0.149334003219537
1243203,67,G,5,9712,0.10993880182662695
1243328,64,E,5,9713,0.10993919411806007
1244218,58,A#,4,9720,0.160167170925267
1244219,59,B,4,9720,0.2198982493934707
1244220,60,C,5,9720,0.21046225697854318
1244221,61,C#,5,9720,0.15181454473614003
1244224,64,E,5,9720,0.10414528247718809
1244342,54,F#,4,9721,0.10216176978735907
1244345,57,A,4,9721,0.12980384868738137
1244346,58,A#,4,9721,0.24603619316183287
1244347,59,B,4,9721,0.34837692374440266
1244348,60,C,5,9721,0.33489875073874603
1244349,61,C#,5,9721,0.222418466517097
1244350,62,D,5,9721,0.14933649811239777
1244351,63,D#,5,9721,0.15588983182687455
1244352,64,E,5,9721,0.13481156330845515
1244354,66,F#,5,9721,0.13039323458377874
1244357,69,A,5,9721,0.10087712026963938
1244358,70,A#,5,9721,0.12419770787547246
1244359,71,B,5,9721,0.16966225703388685
1244362,74,D,6,9721,0.168739955292877
1244363,75,D#,6,9721,0.10916412413499477
1244365,77,F,6,9721,0.14014419194215097
1244370,82,A#,6,9721,0.10763665576643446
1244474,58,A#,4,9722,0.14880308848441906
1244475,59,B,4,9722,0.17210989087411058
1244476,60,C,5,9722,0.1504939641511001
1244481,65,F,5,9722,0.11069779349147146
1244482,66,F#,5,9722,0.10205701282088077
1244483,67,G,5,9722,0.19380290052379856
1244484,68,G#,5,9722,0.15854618844717125
1244489,73,C#,6,9722,0.10919624823440245
1244490,74,D,6,9722,0.18368825873426664
1244491,75,D#,6,9722,0.11143844741301605
1244493,77,F,6,9722,0.11793147447156614
1244502,86,D,7,9722,0.13369921207883761
1244503,87,D#,7,9722,0.17349912153218483
1244508,92,G#,7,9722,0.10352935040089228
1244514,98,D,8,9722,0.10749052848515596
1244515,99,D#,8,9722,0.183702594046859
1244516,100,E,8,9722,0.1018817120270954
1244608,64,E,5,9723,0.10365953991232309
1244609,65,F,5,9723,0.10853344728936426
1244610,66,F#,5,9723,0.1235208016018379
1244611,67,G,5,9723,0.12554352781780245
1244612,68,G#,5,9723,0.12003965300380458
1244613,69,A,5,9723,0.12414182222153991
1244614,70,A#,5,9723,0.14319255750099283
