,MIDI Note,Note,Octave,time,value
844104,72,C,6,6594,0.6547152835768468
844105,73,C#,6,6594,1.7500000601875116
844106,74,D,6,6594,1.3861601238039514
844107,75,D#,6,6594,0.28603379071909313
844116,84,C,7,6594,0.2413075498831136
844117,85,C#,7,6594,0.7172244278340171
844118,86,D,7,6594,0.5726561361410304
844124,92,G#,7,6594,0.1407362646876673
844125,93,A,7,6594,0.10813753944942876
844133,101,F,8,6594,0.13521763278104468
844222,62,D,5,6595,0.11307525485819318
844224,64,E,5,6595,0.1550890240156257
844226,66,F#,5,6595,0.2646990311707768
844227,67,G,5,6595,0.5121115870720703
844228,68,G#,5,6595,0.39156033019303244
844229,69,A,5,6595,0.12265481579944114
844230,70,A#,5,6595,0.4082106722277604
844231,71,B,5,6595,0.2928100258717797
844233,73,C#,6,6595,0.9583237309156621
844234,74,D,6,6595,1.0705128872196719
844235,75,D#,6,6595,0.3031263987055941
844245,85,C#,7,6595,0.48460491037179415
844246,86,D,7,6595,0.5972930968457868
844247,87,D#,7,6595,0.2296661143972287
844252,92,G#,7,6595,0.17621246893512488
844253,93,A,7,6595,0.22856828986762118
844258,98,D,8,6595,0.10330496168747043
844261,101,F,8,6595,0.18143993776371048
844262,102,F#,8,6595,0.19950589739049762
844352,64,E,5,6596,0.13510292573245533
844353,65,F,5,6596,0.10169544632514335
844355,67,G,5,6596,0.31007949560895454
844356,68,G#,5,6596,0.2916620365822262
844357,69,A,5,6596,0.24571956484311697
844358,70,A#,5,6596,0.4725552855814257
844359,71,B,5,6596,0.33036717774721364
844361,73,C#,6,6596,0.678477085598468
844362,74,D,6,6596,0.8931511665894942
844363,75,D#,6,6596,0.31929969529506885
844370,82,A#,6,6596,0.12807374989476555
844373,85,C#,7,6596,0.4597814245824887
844374,86,D,7,6596,0.7108598418724885
844375,87,D#,7,6596,0.2753702206816738
844380,92,G#,7,6596,0.23865694657475378
844381,93,A,7,6596,0.32651847087342656
844382,94,A#,7,6596,0.11298984691970551
844386,98,D,8,6596,0.10332271365651675
844389,101,F,8,6596,0.1576268518187544
844390,102,F#,8,6596,0.2016667111115893
844478,62,D,5,6597,0.10008868349597096
844479,63,D#,5,6597,0.11953790012168089
844480,64,E,5,6597,0.1525225884631504
844481,65,F,5,6597,0.13614245675674802
844482,66,F#,5,6597,0.26325183560416593
844483,67,G,5,6597,0.5291648800078136
844484,68,G#,5,6597,0.38472641859983836
844485,69,A,5,6597,0.2480138652128358
844486,70,A#,5,6597,0.35037145413037374
844487,71,B,5,6597,0.17909962558858983
844489,73,C#,6,6597,0.34592468078431976
844490,74,D,6,6597,0.6992994603129579
844491,75,D#,6,6597,0.4217994705122119
844495,79,G,6,6597,0.15138786933187615
844501,85,C#,7,6597,0.412205106173844
844502,86,D,7,6597,1.0149073290682606
844503,87,D#,7,6597,0.6833856787201296
844504,88,E,7,6597,0.11239857218320247
844508,92,G#,7,6597,0.11334086972134548
844509,93,A,7,6597,0.3247599126634755
844510,94,A#,7,6597,0.23077208883782863
844514,98,D,8,6597,0.13030507743589295
844606,62,D,5,6598,0.11472135624360491
844608,64,E,5,6598,0.1412490399284359
844609,65,F,5,6598,0.11973904427312837
844610,66,F#,5,6598,0.1175240208628057
844611,67,G,5,6598,0.3301874496866463
844612,68,G#,5,6598,0.33583137752496534
844613,69,A,5,6598,0.11186298726516483
844614,70,A#,5,6598,0.22695854947974248
844615,71,B,5,6598,0.23726747492750172
844618,74,D,6,6598,0.4028966456502366
844619,75,D#,6,6598,0.6925984069166575
844620,76,E,6,6598,0.32147705812969435
844630,86,D,7,6598,0.6557782196999926
844631,87,D#,7,6598,0.9276593562032526
844632,88,E,7,6598,0.38418605748124257
844637,93,A,7,6598,0.23872139852292582
844638,94,A#,7,6598,0.35465282324170583
844639,95,B,7,6598,0.1474015617285702
844647,103,G,8,6598,0.1014986660574748
844729,57,A,4,6599,0.11532691063013831
844734,62,D,5,6599,0.12254446601721615
844735,63,D#,5,6599,0.11953653484461896
844736,64,E,5,6599,0.16887327708303632
844738,66,F#,5,6599,0.17823314527246384
844739,67,G,5,6599,0.4652534351345071
844740,68,G#,5,6599,0.4051273258773752
844741,69,A,5,6599,0.19867328971472262
844742,70,A#,5,6599,0.36202294522522077
844743,71,B,5,6599,0.22858720896035473
844746,74,D,6,6599,0.27551786522149035
844747,75,D#,6,6599,0.8002976426757913
844748,76,E,6,6599,0.6036126573776357
844749,77,F,6,6599,0.10074205258798202
844751,79,G,6,6599,0.16031168893496842
844758,86,D,7,6599,0.2810154349563689
844759,87,D#,7,6599,0.7952809630810475
844760,88,E,7,6599,0.6072744995018147
844761,89,F,7,6599,0.15640804466948482
844766,94,A#,7,6599,0.21222868285935043
844767,95,B,7,6599,0.1560594028373364
844857,57,A,4,6600,0.11829325478321334
844858,58,A#,4,6600,0.10538500398406042
844862,62,D,5,6600,0.13281035774493924
844863,63,D#,5,6600,0.13862768054740246
844864,64,E,5,6600,0.17301328658456402
844865,65,F,5,6600,0.16299548494793767
844866,66,F#,5,6600,0.20625461414195526
844867,67,G,5,6600,0.3524256937605257
844868,68,G#,5,6600,0.3800661672489452
844869,69,A,5,6600,0.21902758946847872
844870,70,A#,5,6600,0.10261904812428603
844871,71,B,5,6600,0.2835746439016282
844872,72,C,6,6600,0.12651623068462878
844874,74,D,6,6600,0.1887532493898276
844875,75,D#,6,6600,0.5908248170849375
844876,76,E,6,6600,0.5634901298070534
844877,77,F,6,6600,0.1577965704923612
844879,79,G,6,6600,0.11102044784316559
844887,87,D#,7,6600,0.4464999564787704
844888,88,E,7,6600,0.5180520963592045
844889,89,F,7,6600,0.20048410908654254
844894,94,A#,7,6600,0.177125181501923
844895,95,B,7,6600,0.21411900649315613
844985,57,A,4,6601,0.11870205394434195
844986,58,A#,4,6601,0.10232428834838006
844990,62,D,5,6601,0.12581824139965347
844992,64,E,5,6601,0.12947548627167624
844993,65,F,5,6601,0.14692808407719204
844994,66,F#,5,6601,0.13939786650172067
844995,67,G,5,6601,0.23939310187477747
844996,68,G#,5,6601,0.28255200080314
844997,69,A,5,6601,0.18833410171740822
844998,70,A#,5,6601,0.16165397661609102
844999,71,B,5,6601,0.22650512214798577
845000,72,C,6,6601,0.16983430610093958
845002,74,D,6,6601,0.11016256698071872
845003,75,D#,6,6601,0.35358097262172183
845004,76,E,6,6601,0.43986000323967567
845005,77,F,6,6601,0.17792914338621885
845015,87,D#,7,6601,0.23102344309706782
845016,88,E,7,6601,0.34661794443989646
845017,89,F,7,6601,0.15046799361422494
845022,94,A#,7,6601,0.1388099786588665
845023,95,B,7,6601,0.18648091474401163
845113,57,A,4,6602,0.10058149295666668
845118,62,D,5,6602,0.1111777036344361
845119,63,D#,5,6602,0.1295275890359926
845120,64,E,5,6602,0.15411676519392573
845122,66,F#,5,6602,0.12279853668973384
845123,67,G,5,6602,0.21717768652739633
845124,68,G#,5,6602,0.22822539129097813
845127,71,B,5,6602,0.13234104668664762
845128,72,C,6,6602,0.17976777744509362
845130,74,D,6,6602,0.1249442043965701
845131,75,D#,6,6602,0.3696428243736215
845132,76,E,6,6602,0.4366239165952104
845133,77,F,6,6602,0.13505981171950995
845135,79,G,6,6602,0.1528053223349738
845136,80,G#,6,6602,0.11820317545295168
845143,87,D#,7,6602,0.2217621452333741
845144,88,E,7,6602,0.30856618515935674
845145,89,F,7,6602,0.14396910572758626
845150,94,A#,7,6602,0.18778432631747383
845151,95,B,7,6602,0.24687688506374417
845152,96,C,8,6602,0.10047049941498766
845155,99,D#,8,6602,0.11234055632342446
845156,100,E,8,6602,0.12106417520404263
845250,66,F#,5,6603,0.1089463596352265
845251,67,G,5,6603,0.16683013547808367
845252,68,G#,5,6603,0.26049666137531013
