,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,octave,note_value,note_value_nmd,note_name,angle
3539,0.0,,,,57.0,,,,,52,note_on,,100.0,57.0,100.0,5088,13.25,192,4.0,9.0,3,D#,270
92,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,5088,13.25,192,2.0,11.0,5,F,330
3541,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,5088,13.25,192,4.0,5.0,11,B,150
10026,3.0,,,,77.0,,,,,52,note_on,,44.0,77.0,44.0,5136,13.375,192,6.0,5.0,11,B,150
10404,8.0,,,,77.0,,,,,52,note_on,,44.0,77.0,44.0,5136,13.375,192,6.0,5.0,11,B,150
96,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,5184,13.5,192,4.0,3.0,9,A,90
3546,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,5184,13.5,192,4.0,5.0,11,B,150
3547,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,5184,13.5,192,4.0,9.0,3,D#,270
3545,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,5184,13.5,192,5.0,0.0,0,C,0
97,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,5184,13.5,192,3.0,6.0,6,F#,180
98,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5184,13.5,192,3.0,4.0,4,E,120
10028,3.0,,,,72.0,,,,,52,note_on,,44.0,72.0,44.0,5232,13.625,192,6.0,0.0,0,C,0
10406,8.0,,,,72.0,,,,,52,note_on,,44.0,72.0,44.0,5232,13.625,192,6.0,0.0,0,C,0
3551,0.0,,,,48.0,,,,,52,note_on,,100.0,48.0,100.0,5280,13.75,192,4.0,0.0,0,C,0
103,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5280,13.75,192,4.0,3.0,9,A,90
102,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5280,13.75,192,3.0,6.0,6,F#,180
10408,8.0,,,,77.0,,,,,52,note_on,,22.0,77.0,22.0,5328,13.875,192,6.0,5.0,11,B,150
106,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,5328,13.875,192,2.0,11.0,5,F,330
10030,3.0,,,,77.0,,,,,52,note_on,,22.0,77.0,22.0,5328,13.875,192,6.0,5.0,11,B,150
108,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,5376,14.0,192,3.0,6.0,6,F#,180
109,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5376,14.0,192,2.0,11.0,5,F,330
3555,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,5376,14.0,192,4.0,7.0,1,C#,210
3553,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,5376,14.0,192,5.0,0.0,0,C,0
3554,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,5376,14.0,192,5.0,4.0,4,E,120
10032,3.0,,,,72.0,,,,,52,note_on,,22.0,72.0,22.0,5424,14.125,192,6.0,0.0,0,C,0
10410,8.0,,,,72.0,,,,,52,note_on,,22.0,72.0,22.0,5424,14.125,192,6.0,0.0,0,C,0
3559,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,5472,14.25,192,4.0,7.0,1,C#,210
3560,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,5472,14.25,192,5.0,4.0,4,E,120
3561,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,5472,14.25,192,5.0,0.0,0,C,0
112,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5472,14.25,192,3.0,6.0,6,F#,180
114,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5568,14.5,192,3.0,6.0,6,F#,180
115,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,5568,14.5,192,3.0,4.0,4,E,120
116,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,5568,14.5,192,4.0,3.0,9,A,90
10034,3.0,,,,67.0,,,,,100,note_on,,88.0,67.0,88.0,5568,14.5,192,5.0,7.0,1,C#,210
10412,8.0,,,,67.0,,,,,100,note_on,,88.0,67.0,88.0,5568,14.5,192,5.0,7.0,1,C#,210
3566,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,5568,14.5,192,5.0,0.0,0,C,0
3565,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,5568,14.5,192,4.0,7.0,1,C#,210
3567,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,5568,14.5,192,5.0,4.0,4,E,120
10414,8.0,,,,64.0,,,,,4,note_on,,88.0,64.0,88.0,5616,14.625,192,5.0,4.0,4,E,120
10036,3.0,,,,64.0,,,,,4,note_on,,88.0,64.0,88.0,5616,14.625,192,5.0,4.0,4,E,120
3571,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,5664,14.75,192,4.0,7.0,1,C#,210
3572,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,5664,14.75,192,5.0,0.0,0,C,0
3573,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,5664,14.75,192,5.0,4.0,4,E,120
120,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5664,14.75,192,3.0,6.0,6,F#,180
10416,8.0,,,,72.0,,,,,52,note_on,,88.0,72.0,88.0,5712,14.875,192,6.0,0.0,0,C,0
10038,3.0,,,,72.0,,,,,52,note_on,,88.0,72.0,88.0,5712,14.875,192,6.0,0.0,0,C,0
3578,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,5760,15.0,192,4.0,7.0,1,C#,210
3577,0.0,,,,64.0,,,,,52,note_on,,100.0,64.0,100.0,5760,15.0,192,5.0,4.0,4,E,120
122,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,5760,15.0,192,3.0,6.0,6,F#,180
123,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,5760,15.0,192,2.0,11.0,5,F,330
