,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,octave,note_value,note_value_nmd,note_name,angle
4589,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,22272,58.0,192,4.0,7.0,1,C#,210
11055,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,22320,58.125,192,4.0,5.0,11,B,150
4597,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,22368,58.25,192,4.0,7.0,1,C#,210
11057,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,22368,58.25,192,4.0,7.0,1,C#,210
899,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,22368,58.25,192,2.0,11.0,5,F,330
4596,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,22368,58.25,192,5.0,2.0,2,D,60
4595,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,22368,58.25,192,4.0,11.0,5,F,330
7629,1.0,,,,31.0,,,,,4,note_on,,112.0,31.0,112.0,22368,58.25,192,2.0,7.0,1,C#,210
898,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,22368,58.25,192,3.0,6.0,6,F#,180
11059,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,22416,58.375,192,4.0,5.0,11,B,150
9532,6.0,,,,59.0,,,,,184,note_on,,112.0,59.0,112.0,22452,58.46875,192,4.0,11.0,5,F,330
11061,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,22464,58.5,192,4.0,7.0,1,C#,210
7631,1.0,,,,31.0,,,,,4,note_on,,112.0,31.0,112.0,22464,58.5,192,2.0,7.0,1,C#,210
4602,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,22464,58.5,192,4.0,11.0,5,F,330
905,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,22464,58.5,192,3.0,4.0,4,E,120
903,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,22464,58.5,192,3.0,6.0,6,F#,180
904,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,22464,58.5,192,2.0,11.0,5,F,330
4603,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,22464,58.5,192,4.0,7.0,1,C#,210
4601,0.0,,,,62.0,,,,,52,note_on,,100.0,62.0,100.0,22464,58.5,192,5.0,2.0,2,D,60
902,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,22464,58.5,192,4.0,3.0,9,A,90
9534,6.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,22496,58.58333333333333,192,4.0,7.0,1,C#,210
11063,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,22512,58.625,192,4.0,5.0,11,B,150
11065,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,22560,58.75,192,4.0,7.0,1,C#,210
4609,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,22560,58.75,192,4.0,11.0,5,F,330
4608,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,22560,58.75,192,4.0,7.0,1,C#,210
910,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,22560,58.75,192,3.0,6.0,6,F#,180
4607,0.0,,,,62.0,,,,,52,note_on,,100.0,62.0,100.0,22560,58.75,192,5.0,2.0,2,D,60
9536,6.0,,,,59.0,,,,,24,note_on,,112.0,59.0,112.0,22608,58.875,192,4.0,11.0,5,F,330
11067,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,22608,58.875,192,4.0,5.0,11,B,150
4615,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,22656,59.0,192,4.0,7.0,1,C#,210
4614,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,22656,59.0,192,4.0,11.0,5,F,330
913,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,22656,59.0,192,3.0,6.0,6,F#,180
4613,0.0,,,,62.0,,,,,52,note_on,,100.0,62.0,100.0,22656,59.0,192,5.0,2.0,2,D,60
912,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,22656,59.0,192,2.0,11.0,5,F,330
11069,5.0,,,,55.0,,,,,52,note_on,,112.0,55.0,112.0,22704,59.125,192,4.0,7.0,1,C#,210
9538,6.0,,,,55.0,,,,,8,note_on,,112.0,55.0,112.0,22704,59.125,192,4.0,7.0,1,C#,210
7633,1.0,,,,31.0,,,,,4,note_on,,112.0,31.0,112.0,22704,59.125,192,2.0,7.0,1,C#,210
4621,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,22752,59.25,192,4.0,11.0,5,F,330
916,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,22752,59.25,192,3.0,6.0,6,F#,180
11071,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,22752,59.25,192,4.0,7.0,1,C#,210
917,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,22752,59.25,192,2.0,11.0,5,F,330
4620,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,22752,59.25,192,5.0,2.0,2,D,60
4619,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,22752,59.25,192,4.0,7.0,1,C#,210
7635,1.0,,,,31.0,,,,,8,note_on,,112.0,31.0,112.0,22800,59.375,192,2.0,7.0,1,C#,210
9540,6.0,,,,59.0,,,,,8,note_on,,112.0,59.0,112.0,22800,59.375,192,4.0,11.0,5,F,330
7378,10.0,,,,103.0,,,,,488,note_on,,112.0,103.0,112.0,22800,59.375,192,8.0,7.0,1,C#,210
11073,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,22800,59.375,192,4.0,5.0,11,B,150
11075,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,22848,59.5,192,4.0,7.0,1,C#,210
4627,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,22848,59.5,192,5.0,2.0,2,D,60
4626,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,22848,59.5,192,4.0,11.0,5,F,330
923,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,22848,59.5,192,4.0,3.0,9,A,90
922,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,22848,59.5,192,3.0,4.0,4,E,120
921,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,22848,59.5,192,2.0,11.0,5,F,330
920,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,22848,59.5,192,3.0,6.0,6,F#,180
4625,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,22848,59.5,192,4.0,7.0,1,C#,210
7637,1.0,,,,31.0,,,,,8,note_on,,112.0,31.0,112.0,22896,59.625,192,2.0,7.0,1,C#,210
9542,6.0,,,,55.0,,,,,8,note_on,,112.0,55.0,112.0,22896,59.625,192,4.0,7.0,1,C#,210
11077,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,22896,59.625,192,4.0,5.0,11,B,150
4631,0.0,,,,59.0,,,,,52,note_on,,100.0,59.0,100.0,22944,59.75,192,4.0,11.0,5,F,330
4632,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,22944,59.75,192,5.0,2.0,2,D,60
4633,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,22944,59.75,192,4.0,7.0,1,C#,210
928,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,22944,59.75,192,3.0,6.0,6,F#,180
929,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,22944,59.75,192,4.0,3.0,9,A,90
11079,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,22944,59.75,192,4.0,7.0,1,C#,210
11081,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,22992,59.875,192,4.0,5.0,11,B,150
932,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,22992,59.875,192,2.0,11.0,5,F,330
7639,1.0,,,,31.0,,,,,8,note_on,,112.0,31.0,112.0,22992,59.875,192,2.0,7.0,1,C#,210
11083,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23040,60.0,192,4.0,7.0,1,C#,210
4637,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,23040,60.0,192,5.0,0.0,0,C,0
4639,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,23040,60.0,192,4.0,9.0,3,D#,270
935,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,23040,60.0,192,2.0,11.0,5,F,330
934,9.0,,,,42.0,,,,,4,note_on,,88.0,42.0,88.0,23040,60.0,192,3.0,6.0,6,F#,180
7641,1.0,,,,29.0,,,,,4,note_on,,112.0,29.0,112.0,23040,60.0,192,2.0,5.0,11,B,150
4638,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,23040,60.0,192,4.0,5.0,11,B,150
11085,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23088,60.125,192,4.0,5.0,11,B,150
4643,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,23136,60.25,192,5.0,0.0,0,C,0
4644,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,23136,60.25,192,4.0,9.0,3,D#,270
939,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,23136,60.25,192,2.0,11.0,5,F,330
11087,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23136,60.25,192,4.0,7.0,1,C#,210
938,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,23136,60.25,192,3.0,6.0,6,F#,180
4645,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,23136,60.25,192,4.0,5.0,11,B,150
7643,1.0,,,,29.0,,,,,8,note_on,,112.0,29.0,112.0,23136,60.25,192,2.0,5.0,11,B,150
11089,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23184,60.375,192,4.0,5.0,11,B,150
9544,6.0,,,,59.0,,,,,236,note_on,,112.0,59.0,112.0,23220,60.46875,192,4.0,11.0,5,F,330
944,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,23232,60.5,192,4.0,3.0,9,A,90
11091,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23232,60.5,192,4.0,7.0,1,C#,210
7645,1.0,,,,29.0,,,,,8,note_on,,112.0,29.0,112.0,23232,60.5,192,2.0,5.0,11,B,150
4649,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,23232,60.5,192,5.0,0.0,0,C,0
4650,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,23232,60.5,192,4.0,9.0,3,D#,270
942,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,23232,60.5,192,3.0,4.0,4,E,120
945,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,23232,60.5,192,3.0,6.0,6,F#,180
4651,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,23232,60.5,192,4.0,5.0,11,B,150
943,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,23232,60.5,192,2.0,11.0,5,F,330
9546,6.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23264,60.58333333333333,192,4.0,7.0,1,C#,210
11093,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23280,60.625,192,4.0,5.0,11,B,150
11095,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23328,60.75,192,4.0,7.0,1,C#,210
4657,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,23328,60.75,192,5.0,0.0,0,C,0
4656,0.0,,,,53.0,,,,,0,note_on,,100.0,53.0,100.0,23328,60.75,192,4.0,5.0,11,B,150
4655,0.0,,,,57.0,,,,,52,note_on,,100.0,57.0,100.0,23328,60.75,192,4.0,9.0,3,D#,270
950,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,23328,60.75,192,3.0,6.0,6,F#,180
9548,6.0,,,,59.0,,,,,24,note_on,,112.0,59.0,112.0,23376,60.875,192,4.0,11.0,5,F,330
11097,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23376,60.875,192,4.0,5.0,11,B,150
4663,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,23424,61.0,192,5.0,0.0,0,C,0
4661,0.0,,,,53.0,,,,,52,note_on,,100.0,53.0,100.0,23424,61.0,192,4.0,5.0,11,B,150
953,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,23424,61.0,192,3.0,6.0,6,F#,180
952,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,23424,61.0,192,2.0,11.0,5,F,330
4662,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,23424,61.0,192,4.0,9.0,3,D#,270
7647,1.0,,,,29.0,,,,,8,note_on,,112.0,29.0,112.0,23472,61.125,192,2.0,5.0,11,B,150
11099,5.0,,,,55.0,,,,,52,note_on,,112.0,55.0,112.0,23472,61.125,192,4.0,7.0,1,C#,210
9550,6.0,,,,55.0,,,,,8,note_on,,112.0,55.0,112.0,23472,61.125,192,4.0,7.0,1,C#,210
957,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,23520,61.25,192,3.0,6.0,6,F#,180
956,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,23520,61.25,192,2.0,11.0,5,F,330
4669,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,23520,61.25,192,5.0,0.0,0,C,0
4668,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,23520,61.25,192,4.0,9.0,3,D#,270
4667,0.0,,,,53.0,,,,,52,note_on,,100.0,53.0,100.0,23520,61.25,192,4.0,5.0,11,B,150
11101,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23520,61.25,192,4.0,7.0,1,C#,210
7649,1.0,,,,29.0,,,,,8,note_on,,112.0,29.0,112.0,23568,61.375,192,2.0,5.0,11,B,150
11103,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23568,61.375,192,4.0,5.0,11,B,150
9552,6.0,,,,59.0,,,,,8,note_on,,112.0,59.0,112.0,23568,61.375,192,4.0,11.0,5,F,330
960,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,23616,61.5,192,3.0,4.0,4,E,120
961,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,23616,61.5,192,3.0,6.0,6,F#,180
962,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,23616,61.5,192,4.0,3.0,9,A,90
963,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,23616,61.5,192,2.0,11.0,5,F,330
4675,0.0,,,,57.0,,,,,0,note_on,,100.0,57.0,100.0,23616,61.5,192,4.0,9.0,3,D#,270
4674,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,23616,61.5,192,5.0,0.0,0,C,0
7380,10.0,,,,103.0,,,,,584,note_on,,112.0,103.0,112.0,23616,61.5,192,8.0,7.0,1,C#,210
11105,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23616,61.5,192,4.0,7.0,1,C#,210
4673,0.0,,,,53.0,,,,,52,note_on,,100.0,53.0,100.0,23616,61.5,192,4.0,5.0,11,B,150
7651,1.0,,,,29.0,,,,,8,note_on,,112.0,29.0,112.0,23664,61.625,192,2.0,5.0,11,B,150
11107,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23664,61.625,192,4.0,5.0,11,B,150
11109,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23712,61.75,192,4.0,7.0,1,C#,210
4679,0.0,,,,48.0,,,,,52,note_on,,100.0,48.0,100.0,23712,61.75,192,4.0,0.0,0,C,0
968,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,23712,61.75,192,4.0,3.0,9,A,90
969,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,23712,61.75,192,3.0,6.0,6,F#,180
972,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,23760,61.875,192,2.0,11.0,5,F,330
11111,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23760,61.875,192,4.0,5.0,11,B,150
7653,1.0,,,,29.0,,,,,8,note_on,,112.0,29.0,112.0,23760,61.875,192,2.0,5.0,11,B,150
4681,0.0,,,,64.0,,,,,52,note_on,,100.0,64.0,100.0,23808,62.0,192,5.0,4.0,4,E,120
4682,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,23808,62.0,192,4.0,7.0,1,C#,210
7655,1.0,,,,36.0,,,,,4,note_on,,112.0,36.0,112.0,23808,62.0,192,3.0,0.0,0,C,0
11113,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23808,62.0,192,4.0,7.0,1,C#,210
4683,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,23808,62.0,192,5.0,0.0,0,C,0
974,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,23808,62.0,192,2.0,11.0,5,F,330
975,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,23808,62.0,192,3.0,6.0,6,F#,180
11115,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23856,62.125,192,4.0,5.0,11,B,150
11117,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,23904,62.25,192,4.0,7.0,1,C#,210
4687,0.0,,,,64.0,,,,,52,note_on,,100.0,64.0,100.0,23904,62.25,192,5.0,4.0,4,E,120
4688,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,23904,62.25,192,4.0,7.0,1,C#,210
979,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,23904,62.25,192,3.0,6.0,6,F#,180
978,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,23904,62.25,192,2.0,11.0,5,F,330
4689,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,23904,62.25,192,5.0,0.0,0,C,0
7657,1.0,,,,36.0,,,,,8,note_on,,112.0,36.0,112.0,23904,62.25,192,3.0,0.0,0,C,0
11119,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,23952,62.375,192,4.0,5.0,11,B,150
9554,6.0,,,,60.0,,,,,184,note_on,,112.0,60.0,112.0,23988,62.46875,192,5.0,0.0,0,C,0
4695,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,24000,62.5,192,5.0,4.0,4,E,120
4694,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,24000,62.5,192,5.0,0.0,0,C,0
7659,1.0,,,,36.0,,,,,8,note_on,,112.0,36.0,112.0,24000,62.5,192,3.0,0.0,0,C,0
4693,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,24000,62.5,192,4.0,7.0,1,C#,210
982,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,24000,62.5,192,4.0,3.0,9,A,90
11121,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,24000,62.5,192,4.0,7.0,1,C#,210
983,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,24000,62.5,192,2.0,11.0,5,F,330
984,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,24000,62.5,192,3.0,4.0,4,E,120
985,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,24000,62.5,192,3.0,6.0,6,F#,180
9556,6.0,,,,57.0,,,,,4,note_on,,112.0,57.0,112.0,24032,62.58333333333333,192,4.0,9.0,3,D#,270
11123,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,24048,62.625,192,4.0,5.0,11,B,150
11125,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,24096,62.75,192,4.0,7.0,1,C#,210
990,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,24096,62.75,192,3.0,6.0,6,F#,180
4699,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,24096,62.75,192,5.0,0.0,0,C,0
4700,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,24096,62.75,192,5.0,4.0,4,E,120
4701,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,24096,62.75,192,4.0,7.0,1,C#,210
11127,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,24144,62.875,192,4.0,5.0,11,B,150
9558,6.0,,,,60.0,,,,,24,note_on,,112.0,60.0,112.0,24144,62.875,192,5.0,0.0,0,C,0
4705,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,24192,63.0,192,5.0,0.0,0,C,0
992,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,24192,63.0,192,2.0,11.0,5,F,330
4707,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,24192,63.0,192,4.0,7.0,1,C#,210
993,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,24192,63.0,192,3.0,6.0,6,F#,180
4706,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,24192,63.0,192,5.0,4.0,4,E,120
7661,1.0,,,,36.0,,,,,8,note_on,,112.0,36.0,112.0,24240,63.125,192,3.0,0.0,0,C,0
11129,5.0,,,,55.0,,,,,52,note_on,,112.0,55.0,112.0,24240,63.125,192,4.0,7.0,1,C#,210
9560,6.0,,,,57.0,,,,,8,note_on,,112.0,57.0,112.0,24240,63.125,192,4.0,9.0,3,D#,270
4711,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,24288,63.25,192,5.0,0.0,0,C,0
4712,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,24288,63.25,192,4.0,7.0,1,C#,210
4713,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,24288,63.25,192,5.0,4.0,4,E,120
996,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,24288,63.25,192,3.0,6.0,6,F#,180
997,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,24288,63.25,192,2.0,11.0,5,F,330
11131,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,24288,63.25,192,4.0,7.0,1,C#,210
9562,6.0,,,,60.0,,,,,8,note_on,,112.0,60.0,112.0,24336,63.375,192,5.0,0.0,0,C,0
7663,1.0,,,,36.0,,,,,8,note_on,,112.0,36.0,112.0,24336,63.375,192,3.0,0.0,0,C,0
11133,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,24336,63.375,192,4.0,5.0,11,B,150
7382,10.0,,,,103.0,,,,,488,note_on,,112.0,103.0,112.0,24336,63.375,192,8.0,7.0,1,C#,210
4717,0.0,,,,60.0,,,,,52,note_on,,100.0,60.0,100.0,24384,63.5,192,5.0,0.0,0,C,0
4718,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,24384,63.5,192,4.0,7.0,1,C#,210
4719,0.0,,,,64.0,,,,,0,note_on,,100.0,64.0,100.0,24384,63.5,192,5.0,4.0,4,E,120
1000,9.0,,,,40.0,,,,,52,note_on,,112.0,40.0,112.0,24384,63.5,192,3.0,4.0,4,E,120
1002,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,24384,63.5,192,4.0,3.0,9,A,90
1003,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,24384,63.5,192,3.0,6.0,6,F#,180
1001,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,24384,63.5,192,2.0,11.0,5,F,330
11135,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,24384,63.5,192,4.0,7.0,1,C#,210
7665,1.0,,,,36.0,,,,,8,note_on,,112.0,36.0,112.0,24432,63.625,192,3.0,0.0,0,C,0
11137,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,24432,63.625,192,4.0,5.0,11,B,150
9564,6.0,,,,57.0,,,,,8,note_on,,112.0,57.0,112.0,24432,63.625,192,4.0,9.0,3,D#,270
4725,0.0,,,,60.0,,,,,0,note_on,,100.0,60.0,100.0,24480,63.75,192,5.0,0.0,0,C,0
4724,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,24480,63.75,192,4.0,7.0,1,C#,210
4723,0.0,,,,64.0,,,,,52,note_on,,100.0,64.0,100.0,24480,63.75,192,5.0,4.0,4,E,120
1009,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,24480,63.75,192,4.0,3.0,9,A,90
11139,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,24480,63.75,192,4.0,7.0,1,C#,210
1008,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,24480,63.75,192,3.0,6.0,6,F#,180
11141,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,24528,63.875,192,4.0,5.0,11,B,150
1012,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,24528,63.875,192,2.0,11.0,5,F,330
7667,1.0,,,,34.0,,,,,8,note_on,,112.0,34.0,112.0,24528,63.875,192,2.0,10.0,10,A#,300
11143,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,24576,64.0,192,4.0,7.0,1,C#,210
7669,1.0,,,,31.0,,,,,4,note_on,,112.0,31.0,112.0,24576,64.0,192,2.0,7.0,1,C#,210
4731,0.0,,,,55.0,,,,,0,note_on,,100.0,55.0,100.0,24576,64.0,192,4.0,7.0,1,C#,210
4730,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,24576,64.0,192,4.0,11.0,5,F,330
1015,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,24576,64.0,192,3.0,6.0,6,F#,180
1014,9.0,,,,35.0,,,,,4,note_on,,112.0,35.0,112.0,24576,64.0,192,2.0,11.0,5,F,330
4729,0.0,,,,62.0,,,,,52,note_on,,100.0,62.0,100.0,24576,64.0,192,5.0,2.0,2,D,60
11145,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,24624,64.125,192,4.0,5.0,11,B,150
4736,0.0,,,,62.0,,,,,0,note_on,,100.0,62.0,100.0,24672,64.25,192,5.0,2.0,2,D,60
4735,0.0,,,,55.0,,,,,52,note_on,,100.0,55.0,100.0,24672,64.25,192,4.0,7.0,1,C#,210
7671,1.0,,,,31.0,,,,,8,note_on,,112.0,31.0,112.0,24672,64.25,192,2.0,7.0,1,C#,210
4737,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,24672,64.25,192,4.0,11.0,5,F,330
1018,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,24672,64.25,192,2.0,11.0,5,F,330
1019,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,24672,64.25,192,3.0,6.0,6,F#,180
11147,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,24672,64.25,192,4.0,7.0,1,C#,210
11149,5.0,,,,53.0,,,,,4,note_on,,112.0,53.0,112.0,24720,64.375,192,4.0,5.0,11,B,150
9566,6.0,,,,59.0,,,,,236,note_on,,112.0,59.0,112.0,24756,64.46875,192,4.0,11.0,5,F,330
11151,5.0,,,,55.0,,,,,4,note_on,,112.0,55.0,112.0,24768,64.5,192,4.0,7.0,1,C#,210
7673,1.0,,,,31.0,,,,,8,note_on,,112.0,31.0,112.0,24768,64.5,192,2.0,7.0,1,C#,210
4743,0.0,,,,59.0,,,,,0,note_on,,100.0,59.0,100.0,24768,64.5,192,4.0,11.0,5,F,330
