,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
3605,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,54240,56.5,480,9.0_14.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
205,0.0,,,,,,67.0,,,,,0,note_on,,86.0,67.0,86.0,54240,56.5,480,0.0_14.0,Overdriven Guitar,5.0,7.0,1,C#,210
206,0.0,,,,,,62.0,,,,,0,note_on,,86.0,62.0,86.0,54240,56.5,480,0.0_14.0,Overdriven Guitar,5.0,2.0,2,D,60
207,0.0,,,,,,55.0,,,,,0,note_on,,86.0,55.0,86.0,54240,56.5,480,0.0_14.0,Overdriven Guitar,4.0,7.0,1,C#,210
2428,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,54480,56.75,480,4.0_14.0,Electric Bass (pick),3.0,4.0,4,E,120
3608,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,54480,56.75,480,9.0_14.0,Acoustic Grand Piano,3.0,0.0,0,C,0
213,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,54600,56.875,480,0.0_14.0,Overdriven Guitar,4.0,4.0,4,E,120
212,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,54600,56.875,480,0.0_14.0,Overdriven Guitar,4.0,11.0,5,F,330
211,0.0,,,,,,64.0,,,,,120,note_on,,95.0,64.0,95.0,54600,56.875,480,0.0_14.0,Overdriven Guitar,5.0,4.0,4,E,120
3611,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,54720,57.0,480,9.0_14.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3612,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,54720,57.0,480,9.0_14.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2430,4.0,,,,,,43.0,,,,,120,note_on,,95.0,43.0,95.0,54720,57.0,480,4.0_14.0,Electric Bass (pick),3.0,7.0,1,C#,210
217,0.0,,,,,,62.0,,,,,120,note_on,,95.0,62.0,95.0,54960,57.25,480,0.0_14.0,Overdriven Guitar,5.0,2.0,2,D,60
218,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,54960,57.25,480,0.0_14.0,Overdriven Guitar,4.0,9.0,3,D#,270
219,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,54960,57.25,480,0.0_14.0,Overdriven Guitar,4.0,2.0,2,D,60
2432,4.0,,,,,,40.0,,,,,240,note_on,,95.0,40.0,95.0,55080,57.375,480,4.0_14.0,Electric Bass (pick),3.0,4.0,4,E,120
3615,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,55200,57.5,480,9.0_14.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3616,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,55200,57.5,480,9.0_14.0,Acoustic Grand Piano,3.0,0.0,0,C,0
224,0.0,,,,,,55.0,,,,,0,note_on,,95.0,55.0,95.0,55200,57.5,480,0.0_14.0,Overdriven Guitar,4.0,7.0,1,C#,210
223,0.0,,,,,,60.0,,,,,0,note_on,,95.0,60.0,95.0,55200,57.5,480,0.0_14.0,Overdriven Guitar,5.0,0.0,0,C,0
225,0.0,,,,,,48.0,,,,,0,note_on,,95.0,48.0,95.0,55200,57.5,480,0.0_14.0,Overdriven Guitar,4.0,0.0,0,C,0
2434,4.0,,,,,,38.0,,,,,240,note_on,,95.0,38.0,95.0,55440,57.75,480,4.0_14.0,Electric Bass (pick),3.0,2.0,2,D,60
3618,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,55440,57.75,480,9.0_14.0,Acoustic Grand Piano,3.0,2.0,2,D,60
229,0.0,,,,,,62.0,,,,,0,note_on,,95.0,62.0,95.0,55560,57.875,480,0.0_14.0,Overdriven Guitar,5.0,2.0,2,D,60
230,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,55560,57.875,480,0.0_14.0,Overdriven Guitar,4.0,9.0,3,D#,270
231,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,55560,57.875,480,0.0_14.0,Overdriven Guitar,4.0,2.0,2,D,60
3622,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,55680,58.0,480,9.0_14.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2436,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,55680,58.0,480,4.0_14.0,Electric Bass (pick),3.0,0.0,0,C,0
3621,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,55680,58.0,480,9.0_14.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
236,0.0,,,,,,55.0,,,,,0,note_on,,95.0,55.0,95.0,55920,58.25,480,0.0_14.0,Overdriven Guitar,4.0,7.0,1,C#,210
235,0.0,,,,,,60.0,,,,,0,note_on,,95.0,60.0,95.0,55920,58.25,480,0.0_14.0,Overdriven Guitar,5.0,0.0,0,C,0
237,0.0,,,,,,48.0,,,,,0,note_on,,95.0,48.0,95.0,55920,58.25,480,0.0_14.0,Overdriven Guitar,4.0,0.0,0,C,0
2438,4.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,56040,58.375,480,4.0_14.0,Electric Bass (pick),3.0,2.0,2,D,60
3626,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,56160,58.5,480,9.0_14.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3625,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,56160,58.5,480,9.0_14.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
241,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,56160,58.5,480,0.0_14.0,Overdriven Guitar,4.0,11.0,5,F,330
242,0.0,,,,,,54.0,,,,,0,note_on,,95.0,54.0,95.0,56160,58.5,480,0.0_14.0,Overdriven Guitar,4.0,6.0,6,F#,180
243,0.0,,,,,,47.0,,,,,0,note_on,,95.0,47.0,95.0,56160,58.5,480,0.0_14.0,Overdriven Guitar,3.0,11.0,5,F,330
2440,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,56400,58.75,480,4.0_14.0,Electric Bass (pick),3.0,0.0,0,C,0
2442,4.0,,,,,,35.0,,,,,0,note_on,,95.0,35.0,95.0,56640,59.0,480,4.0_14.0,Electric Bass (pick),2.0,11.0,5,F,330
3630,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,56640,59.0,480,9.0_14.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3629,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,56640,59.0,480,9.0_14.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
244,0.0,,,,,,57.0,,,,,930,note_on,,95.0,57.0,95.0,57090,59.46875,480,0.0_14.0,Overdriven Guitar,4.0,9.0,3,D#,270
246,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,57090,59.46875,480,0.0_14.0,Overdriven Guitar,3.0,9.0,3,D#,270
245,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,57090,59.46875,480,0.0_14.0,Overdriven Guitar,4.0,4.0,4,E,120
253,0.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,57120,59.5,480,0.0_14.0,Overdriven Guitar,5.0,4.0,4,E,120
254,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,57120,59.5,480,0.0_14.0,Overdriven Guitar,4.0,11.0,5,F,330
255,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,57120,59.5,480,0.0_14.0,Overdriven Guitar,4.0,4.0,4,E,120
3633,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,57120,59.5,480,9.0_14.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3634,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,57120,59.5,480,9.0_14.0,Acoustic Grand Piano,3.0,2.0,2,D,60
2444,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,57600,60.0,480,4.0_15.0,Electric Bass (pick),3.0,4.0,4,E,120
3638,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,57600,60.0,480,9.0_15.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3637,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,57600,60.0,480,9.0_15.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
274,0.0,,,,,,67.0,,,,,0,note_on,,86.0,67.0,86.0,57840,60.25,480,0.0_15.0,Overdriven Guitar,5.0,7.0,1,C#,210
275,0.0,,,,,,62.0,,,,,0,note_on,,86.0,62.0,86.0,57840,60.25,480,0.0_15.0,Overdriven Guitar,5.0,2.0,2,D,60
276,0.0,,,,,,55.0,,,,,0,note_on,,86.0,55.0,86.0,57840,60.25,480,0.0_15.0,Overdriven Guitar,4.0,7.0,1,C#,210
3641,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,58080,60.5,480,9.0_15.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3642,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,58080,60.5,480,9.0_15.0,Acoustic Grand Piano,3.0,2.0,2,D,60
282,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,58200,60.625,480,0.0_15.0,Overdriven Guitar,4.0,4.0,4,E,120
281,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,58200,60.625,480,0.0_15.0,Overdriven Guitar,4.0,11.0,5,F,330
280,0.0,,,,,,64.0,,,,,120,note_on,,95.0,64.0,95.0,58200,60.625,480,0.0_15.0,Overdriven Guitar,5.0,4.0,4,E,120
2446,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,58320,60.75,480,4.0_15.0,Electric Bass (pick),3.0,4.0,4,E,120
288,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,58560,61.0,480,0.0_15.0,Overdriven Guitar,4.0,2.0,2,D,60
287,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,58560,61.0,480,0.0_15.0,Overdriven Guitar,4.0,9.0,3,D#,270
3646,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,58560,61.0,480,9.0_15.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3645,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,58560,61.0,480,9.0_15.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
2448,4.0,,,,,,43.0,,,,,120,note_on,,95.0,43.0,95.0,58560,61.0,480,4.0_15.0,Electric Bass (pick),3.0,7.0,1,C#,210
286,0.0,,,,,,62.0,,,,,120,note_on,,95.0,62.0,95.0,58560,61.0,480,0.0_15.0,Overdriven Guitar,5.0,2.0,2,D,60
292,0.0,,,,,,60.0,,,,,0,note_on,,95.0,60.0,95.0,58800,61.25,480,0.0_15.0,Overdriven Guitar,5.0,0.0,0,C,0
293,0.0,,,,,,55.0,,,,,0,note_on,,95.0,55.0,95.0,58800,61.25,480,0.0_15.0,Overdriven Guitar,4.0,7.0,1,C#,210
294,0.0,,,,,,48.0,,,,,0,note_on,,95.0,48.0,95.0,58800,61.25,480,0.0_15.0,Overdriven Guitar,4.0,0.0,0,C,0
2450,4.0,,,,,,40.0,,,,,240,note_on,,95.0,40.0,95.0,58920,61.375,480,4.0_15.0,Electric Bass (pick),3.0,4.0,4,E,120
3650,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,59040,61.5,480,9.0_15.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3649,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,59040,61.5,480,9.0_15.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
2452,4.0,,,,,,38.0,,,,,240,note_on,,95.0,38.0,95.0,59280,61.75,480,4.0_15.0,Electric Bass (pick),3.0,2.0,2,D,60
3654,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,59520,62.0,480,9.0_15.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3653,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,59520,62.0,480,9.0_15.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
2454,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,59520,62.0,480,4.0_15.0,Electric Bass (pick),3.0,0.0,0,C,0
300,0.0,,,,,,47.0,,,,,0,note_on,,95.0,47.0,95.0,59760,62.25,480,0.0_15.0,Overdriven Guitar,3.0,11.0,5,F,330
298,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,59760,62.25,480,0.0_15.0,Overdriven Guitar,4.0,11.0,5,F,330
299,0.0,,,,,,54.0,,,,,0,note_on,,95.0,54.0,95.0,59760,62.25,480,0.0_15.0,Overdriven Guitar,4.0,6.0,6,F#,180
3658,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,60000,62.5,480,9.0_15.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3657,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,60000,62.5,480,9.0_15.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3661,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,60480,63.0,480,9.0_15.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3662,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,60480,63.0,480,9.0_15.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2456,4.0,,,,,,35.0,,,,,0,note_on,,95.0,35.0,95.0,60480,63.0,480,4.0_15.0,Electric Bass (pick),2.0,11.0,5,F,330
302,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,60690,63.21875,480,0.0_15.0,Overdriven Guitar,4.0,4.0,4,E,120
301,0.0,,,,,,57.0,,,,,930,note_on,,95.0,57.0,95.0,60690,63.21875,480,0.0_15.0,Overdriven Guitar,4.0,9.0,3,D#,270
303,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,60690,63.21875,480,0.0_15.0,Overdriven Guitar,3.0,9.0,3,D#,270
310,0.0,,,,,,64.0,,,,,0,note_on,,95.0,64.0,95.0,60720,63.25,480,0.0_15.0,Overdriven Guitar,5.0,4.0,4,E,120
312,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,60720,63.25,480,0.0_15.0,Overdriven Guitar,4.0,4.0,4,E,120
311,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,60720,63.25,480,0.0_15.0,Overdriven Guitar,4.0,11.0,5,F,330
3665,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,60960,63.5,480,9.0_15.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3666,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,60960,63.5,480,9.0_15.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3669,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,61440,64.0,480,9.0_16.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3670,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,61440,64.0,480,9.0_16.0,Acoustic Grand Piano,3.0,0.0,0,C,0
333,0.0,,,,,,55.0,,,,,0,note_on,,86.0,55.0,86.0,61440,64.0,480,0.0_16.0,Overdriven Guitar,4.0,7.0,1,C#,210
331,0.0,,,,,,67.0,,,,,0,note_on,,86.0,67.0,86.0,61440,64.0,480,0.0_16.0,Overdriven Guitar,5.0,7.0,1,C#,210
332,0.0,,,,,,62.0,,,,,0,note_on,,86.0,62.0,86.0,61440,64.0,480,0.0_16.0,Overdriven Guitar,5.0,2.0,2,D,60
2458,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,61440,64.0,480,4.0_16.0,Electric Bass (pick),3.0,4.0,4,E,120
338,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,61800,64.375,480,0.0_16.0,Overdriven Guitar,4.0,11.0,5,F,330
337,0.0,,,,,,64.0,,,,,120,note_on,,95.0,64.0,95.0,61800,64.375,480,0.0_16.0,Overdriven Guitar,5.0,4.0,4,E,120
339,0.0,,,,,,52.0,,,,,0,note_on,,95.0,52.0,95.0,61800,64.375,480,0.0_16.0,Overdriven Guitar,4.0,4.0,4,E,120
3673,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,61920,64.5,480,9.0_16.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3674,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,61920,64.5,480,9.0_16.0,Acoustic Grand Piano,3.0,2.0,2,D,60
2460,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,62160,64.75,480,4.0_16.0,Electric Bass (pick),3.0,4.0,4,E,120
345,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,62160,64.75,480,0.0_16.0,Overdriven Guitar,4.0,2.0,2,D,60
344,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,62160,64.75,480,0.0_16.0,Overdriven Guitar,4.0,9.0,3,D#,270
343,0.0,,,,,,62.0,,,,,120,note_on,,95.0,62.0,95.0,62160,64.75,480,0.0_16.0,Overdriven Guitar,5.0,2.0,2,D,60
3676,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,62160,64.75,480,9.0_16.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2462,4.0,,,,,,43.0,,,,,120,note_on,,95.0,43.0,95.0,62400,65.0,480,4.0_16.0,Electric Bass (pick),3.0,7.0,1,C#,210
351,0.0,,,,,,48.0,,,,,0,note_on,,95.0,48.0,95.0,62400,65.0,480,0.0_16.0,Overdriven Guitar,4.0,0.0,0,C,0
349,0.0,,,,,,60.0,,,,,0,note_on,,95.0,60.0,95.0,62400,65.0,480,0.0_16.0,Overdriven Guitar,5.0,0.0,0,C,0
350,0.0,,,,,,55.0,,,,,0,note_on,,95.0,55.0,95.0,62400,65.0,480,0.0_16.0,Overdriven Guitar,4.0,7.0,1,C#,210
3680,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,62400,65.0,480,9.0_16.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3679,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,62400,65.0,480,9.0_16.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
355,0.0,,,,,,62.0,,,,,0,note_on,,95.0,62.0,95.0,62760,65.375,480,0.0_16.0,Overdriven Guitar,5.0,2.0,2,D,60
356,0.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,62760,65.375,480,0.0_16.0,Overdriven Guitar,4.0,9.0,3,D#,270
357,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,62760,65.375,480,0.0_16.0,Overdriven Guitar,4.0,2.0,2,D,60
2464,4.0,,,,,,40.0,,,,,240,note_on,,95.0,40.0,95.0,62760,65.375,480,4.0_16.0,Electric Bass (pick),3.0,4.0,4,E,120
3683,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,62880,65.5,480,9.0_16.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3684,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,62880,65.5,480,9.0_16.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3686,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,63120,65.75,480,9.0_16.0,Acoustic Grand Piano,3.0,2.0,2,D,60
363,0.0,,,,,,48.0,,,,,0,note_on,,95.0,48.0,95.0,63120,65.75,480,0.0_16.0,Overdriven Guitar,4.0,0.0,0,C,0
362,0.0,,,,,,55.0,,,,,0,note_on,,95.0,55.0,95.0,63120,65.75,480,0.0_16.0,Overdriven Guitar,4.0,7.0,1,C#,210
361,0.0,,,,,,60.0,,,,,0,note_on,,95.0,60.0,95.0,63120,65.75,480,0.0_16.0,Overdriven Guitar,5.0,0.0,0,C,0
2466,4.0,,,,,,38.0,,,,,240,note_on,,95.0,38.0,95.0,63120,65.75,480,4.0_16.0,Electric Bass (pick),3.0,2.0,2,D,60
2468,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,63360,66.0,480,4.0_16.0,Electric Bass (pick),3.0,0.0,0,C,0
369,0.0,,,,,,47.0,,,,,0,note_on,,95.0,47.0,95.0,63360,66.0,480,0.0_16.0,Overdriven Guitar,3.0,11.0,5,F,330
3689,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,63360,66.0,480,9.0_16.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
368,0.0,,,,,,54.0,,,,,0,note_on,,95.0,54.0,95.0,63360,66.0,480,0.0_16.0,Overdriven Guitar,4.0,6.0,6,F#,180
3690,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,63360,66.0,480,9.0_16.0,Acoustic Grand Piano,3.0,0.0,0,C,0
367,0.0,,,,,,59.0,,,,,0,note_on,,95.0,59.0,95.0,63360,66.0,480,0.0_16.0,Overdriven Guitar,4.0,11.0,5,F,330
2470,4.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,63720,66.375,480,4.0_16.0,Electric Bass (pick),3.0,2.0,2,D,60
3693,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,63840,66.5,480,9.0_16.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
3694,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,63840,66.5,480,9.0_16.0,Acoustic Grand Piano,3.0,2.0,2,D,60
2472,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,64080,66.75,480,4.0_16.0,Electric Bass (pick),3.0,0.0,0,C,0
373,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,64320,67.0,480,0.0_16.0,Overdriven Guitar,4.0,2.0,2,D,60
374,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,64320,67.0,480,0.0_16.0,Overdriven Guitar,3.0,7.0,1,C#,210
3698,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,64320,67.0,480,9.0_16.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3697,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,64320,67.0,480,9.0_16.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
2474,4.0,,,,,,35.0,,,,,0,note_on,,95.0,35.0,95.0,64320,67.0,480,4.0_16.0,Electric Bass (pick),2.0,11.0,5,F,330
377,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,64560,67.25,480,0.0_16.0,Overdriven Guitar,4.0,2.0,2,D,60
378,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,64560,67.25,480,0.0_16.0,Overdriven Guitar,3.0,7.0,1,C#,210
382,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,64800,67.5,480,0.0_16.0,Overdriven Guitar,3.0,7.0,1,C#,210
381,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,64800,67.5,480,0.0_16.0,Overdriven Guitar,4.0,2.0,2,D,60
3702,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,64800,67.5,480,9.0_16.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3701,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,64800,67.5,480,9.0_16.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
386,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,65040,67.75,480,0.0_16.0,Overdriven Guitar,3.0,7.0,1,C#,210
385,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,65040,67.75,480,0.0_16.0,Overdriven Guitar,4.0,2.0,2,D,60
3705,9.0,,,,,,57.0,,,,,0,note_on,,95.0,57.0,95.0,65280,68.0,480,9.0_17.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
2476,4.0,,,,,,31.0,,,,,0,note_on,,95.0,31.0,95.0,65280,68.0,480,4.0_17.0,Electric Bass (pick),2.0,7.0,1,C#,210
3706,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,65280,68.0,480,9.0_17.0,Acoustic Grand Piano,3.0,0.0,0,C,0
389,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,65280,68.0,480,0.0_17.0,Overdriven Guitar,4.0,2.0,2,D,60
390,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,65280,68.0,480,0.0_17.0,Overdriven Guitar,3.0,7.0,1,C#,210
394,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,65520,68.25,480,0.0_17.0,Overdriven Guitar,3.0,7.0,1,C#,210
2478,4.0,,,,,,31.0,,,,,0,note_on,,95.0,31.0,95.0,65520,68.25,480,4.0_17.0,Electric Bass (pick),2.0,7.0,1,C#,210
393,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,65520,68.25,480,0.0_17.0,Overdriven Guitar,4.0,2.0,2,D,60
2480,4.0,,,,,,31.0,,,,,0,note_on,,95.0,31.0,95.0,65760,68.5,480,4.0_17.0,Electric Bass (pick),2.0,7.0,1,C#,210
3709,9.0,,,,,,42.0,,,,,0,note_on,,95.0,42.0,95.0,65760,68.5,480,9.0_17.0,Acoustic Grand Piano,3.0,6.0,6,F#,180
397,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,65760,68.5,480,0.0_17.0,Overdriven Guitar,4.0,2.0,2,D,60
398,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,65760,68.5,480,0.0_17.0,Overdriven Guitar,3.0,7.0,1,C#,210
2482,4.0,,,,,,31.0,,,,,0,note_on,,95.0,31.0,95.0,66000,68.75,480,4.0_17.0,Electric Bass (pick),2.0,7.0,1,C#,210
402,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,66000,68.75,480,0.0_17.0,Overdriven Guitar,3.0,7.0,1,C#,210
401,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,66000,68.75,480,0.0_17.0,Overdriven Guitar,4.0,2.0,2,D,60
405,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,66240,69.0,480,0.0_17.0,Overdriven Guitar,3.0,9.0,3,D#,270
2484,4.0,,,,,,31.0,,,,,0,note_on,,95.0,31.0,95.0,66240,69.0,480,4.0_17.0,Electric Bass (pick),2.0,7.0,1,C#,210
406,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,66240,69.0,480,0.0_17.0,Overdriven Guitar,3.0,4.0,4,E,120
3711,9.0,,,,,,42.0,,,,,0,note_on,,95.0,42.0,95.0,66240,69.0,480,9.0_17.0,Acoustic Grand Piano,3.0,6.0,6,F#,180
409,0.0,,,,,,45.0,,,,,0,note_on,,95.0,45.0,95.0,66480,69.25,480,0.0_17.0,Overdriven Guitar,3.0,9.0,3,D#,270
410,0.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,66480,69.25,480,0.0_17.0,Overdriven Guitar,3.0,4.0,4,E,120
2486,4.0,,,,,,31.0,,,,,0,note_on,,95.0,31.0,95.0,66480,69.25,480,4.0_17.0,Electric Bass (pick),2.0,7.0,1,C#,210
