,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
3351,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,24960,26.0,480,9.0_6.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2306,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,24960,26.0,480,4.0_6.0,Electric Bass (pick),3.0,0.0,0,C,0
3355,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,25440,26.5,480,9.0_6.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3356,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,25440,26.5,480,9.0_6.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3357,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,25440,26.5,480,9.0_6.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2308,4.0,,,,,,35.0,,,,,0,note_on,,95.0,35.0,95.0,25920,27.0,480,4.0_6.0,Electric Bass (pick),2.0,11.0,5,F,330
3363,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,25920,27.0,480,9.0_6.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3362,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,25920,27.0,480,9.0_6.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3361,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,25920,27.0,480,9.0_6.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3367,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,26400,27.5,480,9.0_6.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3369,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,26400,27.5,480,9.0_6.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3368,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,26400,27.5,480,9.0_6.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3373,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,26880,28.0,480,9.0_7.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3374,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,26880,28.0,480,9.0_7.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3375,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,26880,28.0,480,9.0_7.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2310,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,26880,28.0,480,4.0_7.0,Electric Bass (pick),3.0,4.0,4,E,120
3381,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,27360,28.5,480,9.0_7.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3379,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,27360,28.5,480,9.0_7.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3380,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,27360,28.5,480,9.0_7.0,Acoustic Grand Piano,3.0,5.0,11,B,150
2312,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,27600,28.75,480,4.0_7.0,Electric Bass (pick),3.0,4.0,4,E,120
3387,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,27840,29.0,480,9.0_7.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2314,4.0,,,,,,43.0,,,,,120,note_on,,95.0,43.0,95.0,27840,29.0,480,4.0_7.0,Electric Bass (pick),3.0,7.0,1,C#,210
3385,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,27840,29.0,480,9.0_7.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3386,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,27840,29.0,480,9.0_7.0,Acoustic Grand Piano,3.0,5.0,11,B,150
2316,4.0,,,,,,40.0,,,,,240,note_on,,95.0,40.0,95.0,28200,29.375,480,4.0_7.0,Electric Bass (pick),3.0,4.0,4,E,120
3391,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,28320,29.5,480,9.0_7.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3392,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,28320,29.5,480,9.0_7.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3393,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,28320,29.5,480,9.0_7.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2318,4.0,,,,,,38.0,,,,,240,note_on,,95.0,38.0,95.0,28560,29.75,480,4.0_7.0,Electric Bass (pick),3.0,2.0,2,D,60
2320,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,28800,30.0,480,4.0_7.0,Electric Bass (pick),3.0,0.0,0,C,0
3399,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,28800,30.0,480,9.0_7.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3398,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,28800,30.0,480,9.0_7.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3397,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,28800,30.0,480,9.0_7.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3405,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,29280,30.5,480,9.0_7.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3404,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,29280,30.5,480,9.0_7.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3403,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,29280,30.5,480,9.0_7.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3411,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,29760,31.0,480,9.0_7.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3410,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,29760,31.0,480,9.0_7.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3409,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,29760,31.0,480,9.0_7.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
2322,4.0,,,,,,35.0,,,,,0,note_on,,95.0,35.0,95.0,29760,31.0,480,4.0_7.0,Electric Bass (pick),2.0,11.0,5,F,330
3417,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,30240,31.5,480,9.0_7.0,Acoustic Grand Piano,3.0,0.0,0,C,0
3415,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,30240,31.5,480,9.0_7.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3416,9.0,,,,,,41.0,,,,,0,note_on,,95.0,41.0,95.0,30240,31.5,480,9.0_7.0,Acoustic Grand Piano,3.0,5.0,11,B,150
3421,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,30720,32.0,480,9.0_8.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3422,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,30720,32.0,480,9.0_8.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2324,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,30720,32.0,480,4.0_8.0,Electric Bass (pick),3.0,4.0,4,E,120
3425,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,31200,32.5,480,9.0_8.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3426,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,31200,32.5,480,9.0_8.0,Acoustic Grand Piano,3.0,2.0,2,D,60
2326,4.0,,,,,,40.0,,,,,0,note_on,,95.0,40.0,95.0,31440,32.75,480,4.0_8.0,Electric Bass (pick),3.0,4.0,4,E,120
2328,4.0,,,,,,43.0,,,,,120,note_on,,95.0,43.0,95.0,31680,33.0,480,4.0_8.0,Electric Bass (pick),3.0,7.0,1,C#,210
3429,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,31680,33.0,480,9.0_8.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
3430,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,31680,33.0,480,9.0_8.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2330,4.0,,,,,,40.0,,,,,240,note_on,,95.0,40.0,95.0,32040,33.375,480,4.0_8.0,Electric Bass (pick),3.0,4.0,4,E,120
3434,9.0,,,,,,38.0,,,,,0,note_on,,95.0,38.0,95.0,32160,33.5,480,9.0_8.0,Acoustic Grand Piano,3.0,2.0,2,D,60
3433,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,32160,33.5,480,9.0_8.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
2332,4.0,,,,,,38.0,,,,,240,note_on,,95.0,38.0,95.0,32400,33.75,480,4.0_8.0,Electric Bass (pick),3.0,2.0,2,D,60
3438,9.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,32640,34.0,480,9.0_8.0,Acoustic Grand Piano,3.0,0.0,0,C,0
2334,4.0,,,,,,36.0,,,,,0,note_on,,95.0,36.0,95.0,32640,34.0,480,4.0_8.0,Electric Bass (pick),3.0,0.0,0,C,0
3437,9.0,,,,,,44.0,,,,,0,note_on,,95.0,44.0,95.0,32640,34.0,480,9.0_8.0,Acoustic Grand Piano,3.0,8.0,8,G#,240
