,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
260,13.0,,,,,,,,,,,,55.0,,,,,,,200,note_on,,60.0,55.0,60.0,890,0.9270833333333334,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
422,0.0,,,,,,,,,,,,72.0,,,,,,,0,note_on,,60.0,72.0,60.0,945,0.984375,480,0.0_0.0,Flute,6.0,0.0,0,C,0
518,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,950,0.9895833333333334,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
558,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,950,0.9895833333333334,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
557,14.0,,,,,,,,,,,,43.0,,,,,,,0,note_on,,60.0,43.0,60.0,950,0.9895833333333334,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
270,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,955,0.9947916666666666,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
608,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,990,1.03125,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
576,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,990,1.03125,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
567,14.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,990,1.03125,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
607,14.0,,,,,,,,,,,,43.0,,,,,,,0,note_on,,60.0,43.0,60.0,990,1.03125,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
274,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,995,1.0364583333333333,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
658,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,1070,1.1145833333333333,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
680,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,1070,1.1145833333333333,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
669,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,1070,1.1145833333333333,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
657,14.0,,,,,,,,,,,,43.0,,,,,,,0,note_on,,60.0,43.0,60.0,1070,1.1145833333333333,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
624,14.0,,,,,,,,,,,,48.0,,,,,,,0,note_on,,60.0,48.0,60.0,1070,1.1145833333333333,480,14.0_0.0,Pizzicato Strings,4.0,0.0,0,C,0
278,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1075,1.1197916666666667,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
273,13.0,,,,,,,,,,,,67.0,,,,,,,0,note_on,,60.0,67.0,60.0,1090,1.1354166666666667,480,13.0_0.0,Pizzicato Strings,5.0,7.0,1,C#,210
272,13.0,,,,,,,,,,,,55.0,,,,,,,40,note_on,,60.0,55.0,60.0,1090,1.1354166666666667,480,13.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
706,14.0,,,,,,,,,,,,55.0,,,,,,,0,note_on,,60.0,55.0,60.0,1110,1.15625,480,14.0_0.0,Pizzicato Strings,4.0,7.0,1,C#,210
705,14.0,,,,,,,,,,,,43.0,,,,,,,40,note_on,,60.0,43.0,60.0,1110,1.15625,480,14.0_0.0,Pizzicato Strings,3.0,7.0,1,C#,210
430,0.0,,,,,,,,,,,,72.0,,,,,,,40,note_on,,60.0,72.0,60.0,1145,1.1927083333333333,480,0.0_0.0,Flute,6.0,0.0,0,C,0
280,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,1155,1.203125,480,9.0_0.0,String Ensemble 1,3.0,4.0,4,E,120
435,0.0,,,,,,,,,,,,69.0,,,,,,,0,note_on,,60.0,69.0,60.0,1175,1.2239583333333333,480,0.0_0.0,Flute,5.0,9.0,3,D#,270
440,0.0,,,,,,,,,,,,72.0,,,,,,,0,note_on,,60.0,72.0,60.0,1215,1.265625,480,0.0_0.0,Flute,6.0,0.0,0,C,0
