,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
763,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9305,9.692708333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
765,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9385,9.776041666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
767,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9465,9.859375,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
771,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,9505,9.901041666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
775,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9585,9.984375,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
778,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,9625,10.026041666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
781,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9675,10.078125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
787,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,9715,10.119791666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
795,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,9755,10.161458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
803,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,9795,10.203125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
811,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,9835,10.244791666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
813,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9915,10.328125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
815,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,9995,10.411458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
819,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10035,10.453125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
827,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10075,10.494791666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
829,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,10155,10.578125,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
833,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,10205,10.630208333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
839,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10245,10.671875,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
841,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,10325,10.755208333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
845,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,10375,10.807291666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
852,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10415,10.848958333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
854,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,10495,10.932291666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
858,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,10545,10.984375,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
863,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10585,11.026041666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
869,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10625,11.067708333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
872,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10665,11.109375,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
875,9.0,,,,,,,,,,,,40.0,,,,,,,50,note_on,,10.0,40.0,10.0,10715,11.161458333333334,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
881,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10725,11.171875,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
887,9.0,,,,,,,,,,,,40.0,,,,,,,10,note_on,,10.0,40.0,10.0,10765,11.213541666666666,480,9.0_2.0,String Ensemble 1,3.0,4.0,4,E,120
