,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
501,1.0,,,,,,,48.0,,,,26,note_on,,95.0,48.0,95.0,4250,5.533854166666666,384,1.0_1.0,Acoustic Bass,4.0,0.0,0,C,0
507,1.0,,,,,,,50.0,,,,28,note_on,,104.0,50.0,104.0,4362,5.6796875,384,1.0_1.0,Acoustic Bass,4.0,2.0,2,D,60
345,2.0,,,,,,,52.0,,,,44,note_on,,100.0,52.0,100.0,4382,5.705729166666666,384,2.0_1.0,Acoustic Grand Piano,4.0,4.0,4,E,120
512,1.0,,,,,,,45.0,,,,52,note_on,,102.0,45.0,102.0,4420,5.755208333333333,384,1.0_1.0,Acoustic Bass,3.0,9.0,3,D#,270
351,2.0,,,,,,,52.0,,,,24,note_on,,100.0,52.0,100.0,4438,5.778645833333333,384,2.0_1.0,Acoustic Grand Piano,4.0,4.0,4,E,120
356,2.0,,,,,,,50.0,,,,12,note_on,,100.0,50.0,100.0,4574,5.955729166666666,384,2.0_1.0,Acoustic Grand Piano,4.0,2.0,2,D,60
361,2.0,,,,,,,45.0,,,,16,note_on,,95.0,45.0,95.0,4716,6.140625,384,2.0_1.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
366,2.0,,,,,,,67.0,,,,0,note_on,,106.0,67.0,106.0,4728,6.15625,384,2.0_1.0,Acoustic Grand Piano,5.0,7.0,1,C#,210
365,2.0,,,,,,,62.0,,,,12,note_on,,107.0,62.0,107.0,4728,6.15625,384,2.0_1.0,Acoustic Grand Piano,5.0,2.0,2,D,60
367,2.0,,,,,,,71.0,,,,2,note_on,,107.0,71.0,107.0,4730,6.158854166666666,384,2.0_1.0,Acoustic Grand Piano,5.0,11.0,5,F,330
369,2.0,,,,,,,52.0,,,,14,note_on,,102.0,52.0,102.0,4744,6.177083333333333,384,2.0_1.0,Acoustic Grand Piano,4.0,4.0,4,E,120
370,2.0,,,,,,,57.0,,,,2,note_on,,93.0,57.0,93.0,4746,6.1796875,384,2.0_1.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
383,2.0,,,,,,,65.0,,,,0,note_on,,107.0,65.0,107.0,5062,6.591145833333333,384,2.0_1.0,Acoustic Grand Piano,5.0,5.0,11,B,150
384,2.0,,,,,,,69.0,,,,0,note_on,,102.0,69.0,102.0,5062,6.591145833333333,384,2.0_1.0,Acoustic Grand Piano,5.0,9.0,3,D#,270
382,2.0,,,,,,,60.0,,,,0,note_on,,101.0,60.0,101.0,5062,6.591145833333333,384,2.0_1.0,Acoustic Grand Piano,5.0,0.0,0,C,0
385,2.0,,,,,,,55.0,,,,2,note_on,,90.0,55.0,90.0,5064,6.59375,384,2.0_1.0,Acoustic Grand Piano,4.0,7.0,1,C#,210
387,2.0,,,,,,,50.0,,,,12,note_on,,103.0,50.0,103.0,5076,6.609375,384,2.0_1.0,Acoustic Grand Piano,4.0,2.0,2,D,60
400,2.0,,,,,,,38.0,,,,162,note_on,,108.0,38.0,108.0,5382,7.0078125,384,2.0_1.0,Acoustic Grand Piano,3.0,2.0,2,D,60
406,2.0,,,,,,,45.0,,,,16,note_on,,106.0,45.0,106.0,5398,7.028645833333333,384,2.0_1.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
411,2.0,,,,,,,47.0,,,,8,note_on,,94.0,47.0,94.0,5606,7.299479166666666,384,2.0_1.0,Acoustic Grand Piano,3.0,11.0,5,F,330
419,2.0,,,,,,,48.0,,,,2,note_on,,89.0,48.0,89.0,5630,7.330729166666666,384,2.0_1.0,Acoustic Grand Piano,4.0,0.0,0,C,0
422,2.0,,,,,,,50.0,,,,2,note_on,,90.0,50.0,90.0,5642,7.346354166666666,384,2.0_1.0,Acoustic Grand Piano,4.0,2.0,2,D,60
427,2.0,,,,,,,52.0,,,,12,note_on,,108.0,52.0,108.0,5654,7.361979166666666,384,2.0_1.0,Acoustic Grand Piano,4.0,4.0,4,E,120
432,2.0,,,,,,,48.0,,,,12,note_on,,102.0,48.0,102.0,5680,7.395833333333333,384,2.0_1.0,Acoustic Grand Piano,4.0,0.0,0,C,0
437,2.0,,,,,,,50.0,,,,2,note_on,,96.0,50.0,96.0,5708,7.432291666666666,384,2.0_1.0,Acoustic Grand Piano,4.0,2.0,2,D,60
441,2.0,,,,,,,57.0,,,,0,note_on,,90.0,57.0,90.0,6104,7.947916666666666,384,2.0_1.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
440,2.0,,,,,,,52.0,,,,396,note_on,,102.0,52.0,102.0,6104,7.947916666666666,384,2.0_1.0,Acoustic Grand Piano,4.0,4.0,4,E,120
443,2.0,,,,,,,62.0,,,,4,note_on,,103.0,62.0,103.0,6108,7.953125,384,2.0_1.0,Acoustic Grand Piano,5.0,2.0,2,D,60
444,2.0,,,,,,,67.0,,,,0,note_on,,106.0,67.0,106.0,6108,7.953125,384,2.0_1.0,Acoustic Grand Piano,5.0,7.0,1,C#,210
446,2.0,,,,,,,71.0,,,,2,note_on,,106.0,71.0,106.0,6110,7.955729166666666,384,2.0_1.0,Acoustic Grand Piano,5.0,11.0,5,F,330
456,2.0,,,,,,,65.0,,,,6,note_on,,106.0,65.0,106.0,6234,8.1171875,384,2.0_2.0,Acoustic Grand Piano,5.0,5.0,11,B,150
458,2.0,,,,,,,69.0,,,,0,note_on,,105.0,69.0,105.0,6238,8.122395833333332,384,2.0_2.0,Acoustic Grand Piano,5.0,9.0,3,D#,270
457,2.0,,,,,,,60.0,,,,4,note_on,,102.0,60.0,102.0,6238,8.122395833333332,384,2.0_2.0,Acoustic Grand Piano,5.0,0.0,0,C,0
459,2.0,,,,,,,55.0,,,,14,note_on,,104.0,55.0,104.0,6252,8.140625,384,2.0_2.0,Acoustic Grand Piano,4.0,7.0,1,C#,210
474,2.0,,,,,,,38.0,,,,88,note_on,,109.0,38.0,109.0,6420,8.359375,384,2.0_2.0,Acoustic Grand Piano,3.0,2.0,2,D,60
479,2.0,,,,,,,45.0,,,,6,note_on,,106.0,45.0,106.0,6426,8.3671875,384,2.0_2.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
484,2.0,,,,,,,47.0,,,,24,note_on,,98.0,47.0,98.0,6650,8.658854166666666,384,2.0_2.0,Acoustic Grand Piano,3.0,11.0,5,F,330
487,2.0,,,,,,,48.0,,,,22,note_on,,99.0,48.0,99.0,6672,8.6875,384,2.0_2.0,Acoustic Grand Piano,4.0,0.0,0,C,0
491,2.0,,,,,,,50.0,,,,26,note_on,,94.0,50.0,94.0,6882,8.9609375,384,2.0_2.0,Acoustic Grand Piano,4.0,2.0,2,D,60
494,2.0,,,,,,,52.0,,,,124,note_on,,91.0,52.0,91.0,7006,9.122395833333332,384,2.0_2.0,Acoustic Grand Piano,4.0,4.0,4,E,120
503,2.0,,,,,,,48.0,,,,4,note_on,,102.0,48.0,102.0,7036,9.161458333333332,384,2.0_2.0,Acoustic Grand Piano,4.0,0.0,0,C,0
509,2.0,,,,,,,50.0,,,,14,note_on,,107.0,50.0,107.0,7070,9.205729166666666,384,2.0_2.0,Acoustic Grand Piano,4.0,2.0,2,D,60
513,2.0,,,,,,,45.0,,,,32,note_on,,101.0,45.0,101.0,7250,9.440104166666666,384,2.0_2.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
519,2.0,,,,,,,67.0,,,,16,note_on,,104.0,67.0,104.0,7266,9.4609375,384,2.0_2.0,Acoustic Grand Piano,5.0,7.0,1,C#,210
522,2.0,,,,,,,71.0,,,,0,note_on,,105.0,71.0,105.0,7268,9.463541666666666,384,2.0_2.0,Acoustic Grand Piano,5.0,11.0,5,F,330
521,2.0,,,,,,,62.0,,,,0,note_on,,104.0,62.0,104.0,7268,9.463541666666666,384,2.0_2.0,Acoustic Grand Piano,5.0,2.0,2,D,60
520,2.0,,,,,,,52.0,,,,2,note_on,,101.0,52.0,101.0,7268,9.463541666666666,384,2.0_2.0,Acoustic Grand Piano,4.0,4.0,4,E,120
523,2.0,,,,,,,57.0,,,,14,note_on,,90.0,57.0,90.0,7282,9.481770833333332,384,2.0_2.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
535,2.0,,,,,,,65.0,,,,10,note_on,,106.0,65.0,106.0,7696,10.020833333333332,384,2.0_2.0,Acoustic Grand Piano,5.0,5.0,11,B,150
536,2.0,,,,,,,69.0,,,,0,note_on,,105.0,69.0,105.0,7696,10.020833333333332,384,2.0_2.0,Acoustic Grand Piano,5.0,9.0,3,D#,270
537,2.0,,,,,,,60.0,,,,2,note_on,,106.0,60.0,106.0,7698,10.0234375,384,2.0_2.0,Acoustic Grand Piano,5.0,0.0,0,C,0
538,2.0,,,,,,,55.0,,,,16,note_on,,95.0,55.0,95.0,7714,10.044270833333332,384,2.0_2.0,Acoustic Grand Piano,4.0,7.0,1,C#,210
539,2.0,,,,,,,50.0,,,,12,note_on,,102.0,50.0,102.0,7726,10.059895833333332,384,2.0_2.0,Acoustic Grand Piano,4.0,2.0,2,D,60
