,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
147,2.0,,,,,,,50.0,,,,14,note_on,,98.0,50.0,98.0,496,0.6458333333333333,384,2.0_0.0,Acoustic Grand Piano,4.0,2.0,2,D,60
117,1.0,,,,,,,45.0,,,,2,note_on,,105.0,45.0,105.0,498,0.6484375,384,1.0_0.0,Acoustic Bass,3.0,9.0,3,D#,270
151,2.0,,,,,,,71.0,,,,2,note_on,,112.0,71.0,112.0,498,0.6484375,384,2.0_0.0,Acoustic Grand Piano,5.0,11.0,5,F,330
152,2.0,,,,,,,57.0,,,,2,note_on,,93.0,57.0,93.0,500,0.6510416666666666,384,2.0_0.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
153,2.0,,,,,,,62.0,,,,0,note_on,,106.0,62.0,106.0,500,0.6510416666666666,384,2.0_0.0,Acoustic Grand Piano,5.0,2.0,2,D,60
154,2.0,,,,,,,67.0,,,,0,note_on,,106.0,67.0,106.0,500,0.6510416666666666,384,2.0_0.0,Acoustic Grand Piano,5.0,7.0,1,C#,210
155,2.0,,,,,,,52.0,,,,2,note_on,,100.0,52.0,100.0,502,0.6536458333333333,384,2.0_0.0,Acoustic Grand Piano,4.0,4.0,4,E,120
254,3.0,,,,,,,69.0,,,,22,note_on,,114.0,69.0,114.0,518,0.6744791666666666,384,3.0_0.0,Trumpet,5.0,9.0,3,D#,270
390,4.0,,,,,,,60.0,,,,0,note_on,,112.0,60.0,112.0,520,0.6770833333333333,384,4.0_0.0,Alto Sax,5.0,0.0,0,C,0
442,4.0,,,,,,,67.0,,,,10,note_on,,118.0,67.0,118.0,532,0.6927083333333333,384,4.0_0.0,Alto Sax,5.0,7.0,1,C#,210
465,4.0,,,,,,,65.0,,,,12,note_on,,116.0,65.0,116.0,544,0.7083333333333333,384,4.0_0.0,Alto Sax,5.0,5.0,11,B,150
148,9.0,,,,,,,44.0,,,,324,note_on,,92.0,44.0,92.0,696,0.90625,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
518,4.0,,,,,,,67.0,,,,148,note_on,,118.0,67.0,118.0,704,0.9166666666666666,384,4.0_0.0,Alto Sax,5.0,7.0,1,C#,210
121,1.0,,,,,,,47.0,,,,64,note_on,,109.0,47.0,109.0,730,0.9505208333333333,384,1.0_0.0,Acoustic Bass,3.0,11.0,5,F,330
156,9.0,,,,,,,39.0,,,,32,note_on,,85.0,39.0,85.0,732,0.953125,384,9.0_0.0,Violin,3.0,3.0,9,A,90
161,9.0,,,,,,,44.0,,,,8,note_on,,86.0,44.0,86.0,744,0.96875,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
171,9.0,,,,,,,39.0,,,,6,note_on,,90.0,39.0,90.0,754,0.9817708333333333,384,9.0_0.0,Violin,3.0,3.0,9,A,90
189,9.0,,,,,,,44.0,,,,10,note_on,,86.0,44.0,86.0,768,1.0,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
544,4.0,,,,,,,65.0,,,,12,note_on,,116.0,65.0,116.0,844,1.0989583333333333,384,4.0_0.0,Alto Sax,5.0,5.0,11,B,150
125,1.0,,,,,,,48.0,,,,26,note_on,,120.0,48.0,120.0,852,1.109375,384,1.0_0.0,Acoustic Bass,4.0,0.0,0,C,0
205,9.0,,,,,,,44.0,,,,122,note_on,,101.0,44.0,101.0,894,1.1640625,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
174,2.0,,,,,,,65.0,,,,0,note_on,,106.0,65.0,106.0,920,1.1979166666666665,384,2.0_0.0,Acoustic Grand Piano,5.0,5.0,11,B,150
173,2.0,,,,,,,60.0,,,,10,note_on,,100.0,60.0,100.0,920,1.1979166666666665,384,2.0_0.0,Acoustic Grand Piano,5.0,0.0,0,C,0
302,3.0,,,,,,,71.0,,,,410,note_on,,127.0,71.0,127.0,928,1.2083333333333333,384,3.0_0.0,Trumpet,5.0,11.0,5,F,330
175,2.0,,,,,,,69.0,,,,14,note_on,,105.0,69.0,105.0,934,1.2161458333333333,384,2.0_0.0,Acoustic Grand Piano,5.0,9.0,3,D#,270
321,3.0,,,,,,,69.0,,,,2,note_on,,115.0,69.0,115.0,944,1.2291666666666665,384,3.0_0.0,Trumpet,5.0,9.0,3,D#,270
176,2.0,,,,,,,55.0,,,,14,note_on,,105.0,55.0,105.0,948,1.234375,384,2.0_0.0,Acoustic Grand Piano,4.0,7.0,1,C#,210
224,9.0,,,,,,,44.0,,,,124,note_on,,93.0,44.0,93.0,1022,1.3307291666666665,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
130,1.0,,,,,,,50.0,,,,10,note_on,,107.0,50.0,107.0,1046,1.3619791666666665,384,1.0_0.0,Acoustic Bass,4.0,2.0,2,D,60
134,1.0,,,,,,,52.0,,,,2,note_on,,113.0,52.0,113.0,1048,1.3645833333333333,384,1.0_0.0,Acoustic Bass,4.0,4.0,4,E,120
233,9.0,,,,,,,39.0,,,,30,note_on,,85.0,39.0,85.0,1056,1.375,384,9.0_0.0,Violin,3.0,3.0,9,A,90
236,9.0,,,,,,,44.0,,,,14,note_on,,86.0,44.0,86.0,1074,1.3984375,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
241,9.0,,,,,,,44.0,,,,10,note_on,,92.0,44.0,92.0,1088,1.4166666666666665,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
186,2.0,,,,,,,38.0,,,,18,note_on,,107.0,38.0,107.0,1088,1.4166666666666665,384,2.0_0.0,Acoustic Grand Piano,3.0,2.0,2,D,60
251,9.0,,,,,,,39.0,,,,2,note_on,,90.0,39.0,90.0,1094,1.4244791666666665,384,9.0_0.0,Violin,3.0,3.0,9,A,90
257,9.0,,,,,,,44.0,,,,6,note_on,,95.0,44.0,95.0,1102,1.4348958333333333,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
287,9.0,,,,,,,44.0,,,,4,note_on,,106.0,44.0,106.0,1110,1.4453125,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
191,2.0,,,,,,,45.0,,,,40,note_on,,100.0,45.0,100.0,1128,1.46875,384,2.0_0.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
