,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
8708,5.0,,,,,,,71.0,,,,60,note_on,,0.0,71.0,0.0,9843,41.0125,120,5.0_10.0,Electric Guitar (jazz)
8709,5.0,,,,,,,74.0,,,,0,note_on,,77.0,74.0,77.0,9843,41.0125,120,5.0_10.0,Electric Guitar (jazz)
8710,5.0,,,,,,,74.0,,,,60,note_on,,0.0,74.0,0.0,9903,41.2625,120,5.0_10.0,Electric Guitar (jazz)
8711,5.0,,,,,,,83.0,,,,0,note_on,,77.0,83.0,77.0,9903,41.2625,120,5.0_10.0,Electric Guitar (jazz)
8712,5.0,,,,,,,83.0,,,,60,note_on,,0.0,83.0,0.0,9963,41.5125,120,5.0_10.0,Electric Guitar (jazz)
8713,5.0,,,,,,,79.0,,,,0,note_on,,77.0,79.0,77.0,9963,41.5125,120,5.0_10.0,Electric Guitar (jazz)
8714,5.0,,,,,,,79.0,,,,60,note_on,,0.0,79.0,0.0,10023,41.7625,120,5.0_10.0,Electric Guitar (jazz)
8715,5.0,,,,,,,74.0,,,,0,note_on,,77.0,74.0,77.0,10023,41.7625,120,5.0_10.0,Electric Guitar (jazz)
8716,5.0,,,,,,,74.0,,,,60,note_on,,0.0,74.0,0.0,10083,42.0125,120,5.0_10.0,Electric Guitar (jazz)
8717,5.0,,,,,,,67.0,,,,0,note_on,,0.0,67.0,0.0,10083,42.0125,120,5.0_10.0,Electric Guitar (jazz)
8718,5.0,,,,,,,60.0,,,,0,note_on,,100.0,60.0,100.0,10083,42.0125,120,5.0_10.0,Electric Guitar (jazz)
8719,5.0,,,,,,,76.0,,,,0,note_on,,77.0,76.0,77.0,10083,42.0125,120,5.0_10.0,Electric Guitar (jazz)
8720,5.0,,,,,,,76.0,,,,60,note_on,,0.0,76.0,0.0,10143,42.2625,120,5.0_10.0,Electric Guitar (jazz)
8721,5.0,,,,,,,67.0,,,,0,note_on,,77.0,67.0,77.0,10143,42.2625,120,5.0_10.0,Electric Guitar (jazz)
8722,5.0,,,,,,,67.0,,,,60,note_on,,0.0,67.0,0.0,10203,42.5125,120,5.0_10.0,Electric Guitar (jazz)
8723,5.0,,,,,,,72.0,,,,0,note_on,,77.0,72.0,77.0,10203,42.5125,120,5.0_10.0,Electric Guitar (jazz)
8724,5.0,,,,,,,72.0,,,,60,note_on,,0.0,72.0,0.0,10263,42.7625,120,5.0_10.0,Electric Guitar (jazz)
8725,5.0,,,,,,,79.0,,,,0,note_on,,77.0,79.0,77.0,10263,42.7625,120,5.0_10.0,Electric Guitar (jazz)
