,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb
258,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,9408,24.5,192
259,9.0,,,,42.0,,,,,0,note_on,,88.0,42.0,88.0,9408,24.5,192
260,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,9408,24.5,192
261,9.0,,,,51.0,,,,,44,note_on,,0.0,51.0,0.0,9452,24.614583333333332,192
262,9.0,,,,40.0,,,,,0,note_on,,0.0,40.0,0.0,9452,24.614583333333332,192
263,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,9452,24.614583333333332,192
264,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9504,24.75,192
265,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,9548,24.864583333333332,192
266,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9600,25.0,192
267,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,9600,25.0,192
268,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,9644,25.114583333333332,192
269,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,9644,25.114583333333332,192
270,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9696,25.25,192
271,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,9696,25.25,192
272,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,9740,25.364583333333332,192
273,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,9740,25.364583333333332,192
274,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,9792,25.5,192
275,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,9792,25.5,192
276,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,9792,25.5,192
277,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,9836,25.614583333333332,192
278,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,9836,25.614583333333332,192
279,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,9836,25.614583333333332,192
280,9.0,,,,51.0,,,,,52,note_on,,112.0,51.0,112.0,9888,25.75,192
