,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
430,1.0,,,,,,,52.0,,,,186,note_off,,110.0,52.0,110.0,3564,4.640625,384,1.0_1.0,Acoustic Bass
431,1.0,,,,,,,48.0,,,,14,note_on,,102.0,48.0,102.0,3578,4.658854166666666,384,1.0_1.0,Acoustic Bass
432,2.0,,,,,,,48.0,,,,12,note_on,,102.0,48.0,102.0,5680,7.395833333333333,384,2.0_1.0,Acoustic Grand Piano
433,2.0,,,,,,,52.0,,,,14,note_off,,108.0,52.0,108.0,5694,7.4140625,384,2.0_1.0,Acoustic Grand Piano
434,1.0,,,,,,,50.0,,,,124,note_on,,101.0,50.0,101.0,3702,4.8203125,384,1.0_1.0,Acoustic Bass
435,2.0,,,,,,,48.0,,,,12,note_off,,102.0,48.0,102.0,5706,7.4296875,384,2.0_1.0,Acoustic Grand Piano
436,1.0,,,,,,,48.0,,,,2,note_off,,102.0,48.0,102.0,3704,4.822916666666666,384,1.0_1.0,Acoustic Bass
437,2.0,,,,,,,50.0,,,,2,note_on,,96.0,50.0,96.0,5708,7.432291666666666,384,2.0_1.0,Acoustic Grand Piano
438,9.0,,,,,,,44.0,,,,344,note_on,,108.0,44.0,108.0,3288,4.28125,384,9.0_1.0,Violin
439,9.0,,,,,,,44.0,,,,4,note_off,,108.0,44.0,108.0,3292,4.286458333333333,384,9.0_1.0,Violin
440,2.0,,,,,,,52.0,,,,396,note_on,,102.0,52.0,102.0,6104,7.947916666666666,384,2.0_1.0,Acoustic Grand Piano
441,2.0,,,,,,,57.0,,,,0,note_on,,90.0,57.0,90.0,6104,7.947916666666666,384,2.0_1.0,Acoustic Grand Piano
442,4.0,,,,,,,67.0,,,,10,note_on,,118.0,67.0,118.0,532,0.6927083333333333,384,4.0_0.0,Alto Sax
443,2.0,,,,,,,62.0,,,,4,note_on,,103.0,62.0,103.0,6108,7.953125,384,2.0_1.0,Acoustic Grand Piano
444,2.0,,,,,,,67.0,,,,0,note_on,,106.0,67.0,106.0,6108,7.953125,384,2.0_1.0,Acoustic Grand Piano
445,3.0,,,,,,,71.0,,,,0,note_on,,127.0,71.0,127.0,1410,1.8359375,384,3.0_0.0,Trumpet
446,2.0,,,,,,,71.0,,,,2,note_on,,106.0,71.0,106.0,6110,7.955729166666666,384,2.0_1.0,Acoustic Grand Piano
447,9.0,,,,,,,39.0,,,,30,note_on,,85.0,39.0,85.0,3322,4.325520833333333,384,9.0_1.0,Violin
448,9.0,,,,,,,39.0,,,,4,note_off,,85.0,39.0,85.0,3326,4.330729166666666,384,9.0_1.0,Violin
449,9.0,,,,,,,44.0,,,,284,note_on,,99.0,44.0,99.0,3610,4.700520833333333,384,9.0_1.0,Violin
450,9.0,,,,,,,44.0,,,,4,note_off,,99.0,44.0,99.0,3614,4.705729166666666,384,9.0_1.0,Violin
451,2.0,,,,,,,62.0,,,,54,note_off,,103.0,62.0,103.0,6164,8.026041666666666,384,2.0_2.0,Acoustic Grand Piano
452,2.0,,,,,,,57.0,,,,0,note_off,,90.0,57.0,90.0,6164,8.026041666666666,384,2.0_2.0,Acoustic Grand Piano
453,2.0,,,,,,,67.0,,,,38,note_off,,106.0,67.0,106.0,6202,8.075520833333332,384,2.0_2.0,Acoustic Grand Piano
454,2.0,,,,,,,71.0,,,,26,note_off,,106.0,71.0,106.0,6228,8.109375,384,2.0_2.0,Acoustic Grand Piano
455,3.0,,,,,,,71.0,,,,154,note_off,,127.0,71.0,127.0,1564,2.036458333333333,384,3.0_0.0,Trumpet
456,2.0,,,,,,,65.0,,,,6,note_on,,106.0,65.0,106.0,6234,8.1171875,384,2.0_2.0,Acoustic Grand Piano
457,2.0,,,,,,,60.0,,,,4,note_on,,102.0,60.0,102.0,6238,8.122395833333332,384,2.0_2.0,Acoustic Grand Piano
