     ,channel ,clocks_per_click ,control ,denominator ,name                                     ,notated_32nd_notes_per_beat ,note ,numerator ,pitch  ,program ,tempo    ,time   ,type           ,value ,velocity ,note_midi_value ,note_velocity ,note_time ,note_seconds           ,tpb ,channel_chunk ,instrument
50   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,47520     ,49.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
51   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,50.0            ,95.0          ,47520     ,49.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
52   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,47520     ,49.5                   ,480 ,0.0_12.0      ,Overdriven Guitar
53   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,47760     ,49.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
54   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,47760     ,49.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
55   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,50.0            ,95.0          ,47760     ,49.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
56   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,47760     ,49.75                  ,480 ,0.0_12.0      ,Overdriven Guitar
57   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,48000     ,50.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
58   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,48000     ,50.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
59   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,45.0            ,95.0          ,48000     ,50.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
60   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,40.0            ,95.0          ,48000     ,50.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
61   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,45.0            ,80.0          ,48240     ,50.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
62   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,40.0            ,80.0          ,48240     ,50.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
63   ,0.0     ,                 ,        ,            ,                                         ,                            ,45.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,45.0            ,95.0          ,48240     ,50.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
64   ,0.0     ,                 ,        ,            ,                                         ,                            ,40.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,40.0            ,95.0          ,48240     ,50.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
