,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
72,2.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,2.0_0.0,Clarinet
73,2.0,,,,,,,,,,,,,,71.0,,,,,5,program_change,,,,,15,0.015625,480,2.0_0.0,Clarinet
74,2.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,50.0,,,,20,0.020833333333333332,480,2.0_0.0,Clarinet
75,2.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,34.0,,,,20,0.020833333333333332,480,2.0_0.0,Clarinet
76,2.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,2.0_0.0,Clarinet
77,2.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,2.0_0.0,Clarinet
78,2.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,50.0,,,,25,0.026041666666666668,480,2.0_0.0,Clarinet
79,3.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,3.0_0.0,Bassoon
80,3.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,3.0_0.0,Bassoon
81,3.0,,,,,,,,,,,,,,70.0,,,,,5,program_change,,,,,15,0.015625,480,3.0_0.0,Bassoon
82,3.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,50.0,,,,20,0.020833333333333332,480,3.0_0.0,Bassoon
83,3.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,94.0,,,,20,0.020833333333333332,480,3.0_0.0,Bassoon
84,3.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,3.0_0.0,Bassoon
85,3.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,127.0,,,,25,0.026041666666666668,480,3.0_0.0,Bassoon
86,3.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,0.0,,,,25,0.026041666666666668,480,3.0_0.0,Bassoon
87,4.0,,0.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,5,0.005208333333333333,480,4.0_0.0,French Horn
88,4.0,,32.0,,,,,,,,,,,,,,,,,5,control_change,0.0,,,,10,0.010416666666666666,480,4.0_0.0,French Horn
89,4.0,,,,,,,,,,,,,,60.0,,,,,5,program_change,,,,,15,0.015625,480,4.0_0.0,French Horn
90,4.0,,7.0,,,,,,,,,,,,,,,,,5,control_change,70.0,,,,20,0.020833333333333332,480,4.0_0.0,French Horn
91,4.0,,10.0,,,,,,,,,,,,,,,,,0,control_change,54.0,,,,20,0.020833333333333332,480,4.0_0.0,French Horn
92,4.0,,11.0,,,,,,,,,,,,,,,,,1,control_change,127.0,,,,21,0.021875,480,4.0_0.0,French Horn
93,4.0,,91.0,,,,,,,,,,,,,,,,,4,control_change,90.0,,,,25,0.026041666666666668,480,4.0_0.0,French Horn
94,4.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,0.0,,,,25,0.026041666666666668,480,4.0_0.0,French Horn
