,channel,clocks_per_click,control,denominator,key,notated_32nd_notes_per_beat,note,numerator,program,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
63,0.0,,,,,,55.0,,,0,note_on,,78.0,55.0,78.0,6144,13.963636363636363,220,0.0_3.0,Acoustic Guitar (nylon)
64,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,6375,14.488636363636363,220,0.0_3.0,Acoustic Guitar (nylon)
65,0.0,,,,,,62.0,,,25,note_on,,74.0,62.0,74.0,6400,14.545454545454545,220,0.0_3.0,Acoustic Guitar (nylon)
66,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,6631,15.070454545454545,220,0.0_3.0,Acoustic Guitar (nylon)
67,0.0,,,,,,64.0,,,25,note_on,,81.0,64.0,81.0,6656,15.127272727272727,220,0.0_3.0,Acoustic Guitar (nylon)
68,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,6887,15.652272727272727,220,0.0_3.0,Acoustic Guitar (nylon)
69,0.0,,,,,,62.0,,,25,note_on,,70.0,62.0,70.0,6912,15.709090909090909,220,0.0_3.0,Acoustic Guitar (nylon)
70,0.0,,,,,,55.0,,,206,note_on,,0.0,55.0,0.0,7118,16.177272727272726,220,0.0_4.0,Acoustic Guitar (nylon)
71,0.0,,,,,,62.0,,,25,note_on,,0.0,62.0,0.0,7143,16.23409090909091,220,0.0_4.0,Acoustic Guitar (nylon)
72,0.0,,,,,,60.0,,,25,note_on,,73.0,60.0,73.0,7168,16.29090909090909,220,0.0_4.0,Acoustic Guitar (nylon)
73,0.0,,,,,,52.0,,,0,note_on,,72.0,52.0,72.0,7168,16.29090909090909,220,0.0_4.0,Acoustic Guitar (nylon)
74,0.0,,,,,,60.0,,,974,note_on,,0.0,60.0,0.0,8142,18.504545454545454,220,0.0_4.0,Acoustic Guitar (nylon)
75,0.0,,,,,,52.0,,,0,note_on,,0.0,52.0,0.0,8142,18.504545454545454,220,0.0_4.0,Acoustic Guitar (nylon)
76,,,,,,,,,,1,end_of_track,,,,,-1,-0.0022727272727272726,220,nan_-1.0,
